"WBIC"	"DATETIME"	"DEPTH"	"WTEMP"
985100	"1996-02-08"	1	3
985100	"1996-02-08"	2	3.2
985100	"1996-02-08"	3	3.3
985100	"1996-02-08"	4	3.4
985100	"1996-02-08"	5	3.5
985100	"1996-02-08"	6	3.6
985100	"1996-02-08"	7	3.6
985100	"1996-02-08"	8	3.6
985100	"1996-02-08"	9	3.6
985100	"1996-02-08"	10	3.7
985100	"1996-02-08"	11	3.7
985100	"1996-02-08"	12	3.7
985100	"1996-02-08"	13	3.8
985100	"1996-02-08"	14	3.8
985100	"1996-02-08"	15	3.8
985100	"1996-02-08"	16	3.9
985100	"1996-02-08"	17	3.9
985100	"1996-02-08"	18	3.9
985100	"1996-03-20"	0	6.6
985100	"1996-03-20"	1	6.5
985100	"1996-03-20"	2	6.5
985100	"1996-03-20"	3	6.4
985100	"1996-03-20"	4	6.3
985100	"1996-03-20"	5	6.2
985100	"1996-03-20"	6	6.1
985100	"1996-03-20"	7	6
985100	"1996-03-20"	8	5.9
985100	"1996-03-20"	9	5.7
985100	"1996-03-20"	10	5.7
985100	"1996-03-20"	11	5.4
985100	"1996-03-20"	12	5
985100	"1996-03-20"	13	5
985100	"1996-03-20"	14	4.9
985100	"1996-03-20"	15	4.8
985100	"1996-03-20"	16	4.8
985100	"1996-03-20"	17	4.8
985100	"1996-03-20"	18	4.7
985100	"1996-05-02"	0	9.6
985100	"1996-05-02"	1	9.6
985100	"1996-05-02"	2	9.5
985100	"1996-05-02"	3	9.5
985100	"1996-05-02"	4	9.4
985100	"1996-05-02"	5	9.4
985100	"1996-05-02"	6	9.3
985100	"1996-05-02"	7	9.3
985100	"1996-05-02"	8	9.3
985100	"1996-05-02"	9	9.3
985100	"1996-05-02"	10	9.2
985100	"1996-05-02"	11	9.2
985100	"1996-05-02"	12	8.7
985100	"1996-05-02"	13	8.6
985100	"1996-05-02"	14	8.2
985100	"1996-05-02"	15	7.7
985100	"1996-05-02"	16	7.3
985100	"1996-05-02"	17	6.5
985100	"1996-05-02"	18	6.5
985100	"1996-05-02"	18.5	6.5
985100	"1996-05-15"	0	11.7
985100	"1996-05-15"	1	11.7
985100	"1996-05-15"	2	11.7
985100	"1996-05-15"	3	11.6
985100	"1996-05-15"	4	11.6
985100	"1996-05-15"	5	11.2
985100	"1996-05-15"	6	10.8
985100	"1996-05-15"	7	10.6
985100	"1996-05-15"	8	10.5
985100	"1996-05-15"	9	10.3
985100	"1996-05-15"	10	9.6
985100	"1996-05-15"	11	9.3
985100	"1996-05-15"	12	8.9
