"WBIC"	"DATETIME"	"DEPTH"	"WTEMP"	"WTEMP_MOD"
985100	"1996-02-08"	1	3	NA
985100	"1996-02-08"	2	3.2	NA
985100	"1996-02-08"	3	3.3	NA
985100	"1996-02-08"	4	3.4	NA
985100	"1996-02-08"	5	3.5	NA
985100	"1996-02-08"	6	3.6	NA
985100	"1996-02-08"	7	3.6	NA
985100	"1996-02-08"	8	3.6	NA
985100	"1996-02-08"	9	3.6	NA
985100	"1996-02-08"	10	3.7	NA
985100	"1996-02-08"	11	3.7	NA
985100	"1996-02-08"	12	3.7	NA
985100	"1996-02-08"	13	3.8	NA
985100	"1996-02-08"	14	3.8	NA
985100	"1996-02-08"	15	3.8	NA
985100	"1996-02-08"	16	3.9	NA
985100	"1996-02-08"	17	3.9	NA
985100	"1996-02-08"	18	3.9	NA
985100	"1996-03-20"	0	6.6	5.50645188060148
985100	"1996-03-20"	1	6.5	4.80573232675315
985100	"1996-03-20"	2	6.5	4.42680309179111
985100	"1996-03-20"	3	6.4	4.23200231498508
985100	"1996-03-20"	4	6.3	4.12450014052957
985100	"1996-03-20"	5	6.2	4.06634419590281
985100	"1996-03-20"	6	6.1	4.03595145280949
985100	"1996-03-20"	7	6	4.0197390526884
985100	"1996-03-20"	8	5.9	4.01094072228685
985100	"1996-03-20"	9	5.7	4.00627395024853
985100	"1996-03-20"	10	5.7	4.00391048375458
985100	"1996-03-20"	11	5.4	4.00273677477348
985100	"1996-03-20"	12	5	4.0025212689191
985100	"1996-03-20"	13	5	4.0025212689191
985100	"1996-03-20"	14	4.9	4.0025212689191
985100	"1996-03-20"	15	4.8	4.0025212689191
985100	"1996-03-20"	16	4.8	4.0025212689191
985100	"1996-03-20"	17	4.8	4.0025212689191
985100	"1996-03-20"	18	4.7	NA
985100	"1996-05-02"	0	9.6	9.00752813096478
985100	"1996-05-02"	1	9.6	9.00752813096478
985100	"1996-05-02"	2	9.5	9.00752812677692
985100	"1996-05-02"	3	9.5	9.00752623817263
985100	"1996-05-02"	4	9.4	9.00671885751208
985100	"1996-05-02"	5	9.4	9.00511658725015
985100	"1996-05-02"	6	9.3	9.00085129694182
