"WBIC"	"ON.OFF"	"DATE"
985100	"off"	"1979-04-03"
985100	"off"	"1980-03-31"
985100	"off"	"1981-03-24"
985100	"off"	"1982-04-07"
985100	"off"	"1983-03-12"
985100	"off"	"1984-04-02"
985100	"off"	"1985-03-20"
985100	"off"	"1986-03-26"
985100	"off"	"1987-03-18"
985100	"off"	"1988-03-24"
985100	"off"	"1989-03-28"
985100	"off"	"1990-03-20"
985100	"off"	"1991-03-23"
985100	"off"	"1992-03-12"
985100	"off"	"1993-04-01"
985100	"off"	"1994-03-25"
985100	"off"	"1995-03-20"
985100	"off"	"1996-04-06"
985100	"off"	"1997-03-28"
985100	"off"	"1998-03-26"
985100	"off"	"1999-03-25"
985100	"off"	"2000-03-08"
985100	"off"	"2001-03-30"
985100	"off"	"2002-04-01"
985100	"off"	"2003-03-25"
985100	"off"	"2004-03-18"
985100	"off"	"2005-03-27"
985100	"off"	"2006-03-27"
985100	"off"	"2007-03-23"
985100	"off"	"2008-03-30"
985100	"off"	"2009-03-23"
985100	"off"	"2010-03-19"
985100	"off"	"2011-03-27"
985100	"on"	"1979-12-16"
985100	"on"	"1980-12-16"
985100	"on"	"1981-12-17"
985100	"on"	"1982-12-17"
985100	"on"	"1983-12-15"
985100	"on"	"1984-12-14"
985100	"on"	"1985-12-09"
985100	"on"	"1986-12-08"
985100	"on"	"1987-12-23"
985100	"on"	"1988-12-18"
985100	"on"	"1989-12-10"
985100	"on"	"1990-12-22"
985100	"on"	"1991-12-08"
985100	"on"	"1992-12-13"
985100	"on"	"1993-12-20"
985100	"on"	"1994-12-19"
985100	"on"	"1995-12-06"
985100	"on"	"1996-12-07"
985100	"on"	"1997-12-11"
985100	"on"	"1999-01-06"
985100	"on"	"1999-12-27"
985100	"on"	"2000-12-12"
985100	"on"	"2002-01-09"
985100	"on"	"2002-12-14"
985100	"on"	"2003-12-23"
985100	"on"	"2004-12-24"
985100	"on"	"2005-12-13"
985100	"on"	"2006-12-17"
985100	"on"	"2007-12-13"
985100	"on"	"2008-12-13"
985100	"on"	"2009-12-22"
985100	"on"	"2010-12-16"
985100	"on"	"2011-12-21"
