"WBIC","DATETIME","DEPTH","WTEMP"
804600,"1995-05-09",0,11.3
804600,"1995-05-09",1,11.3
804600,"1995-05-09",2,11.3
804600,"1995-05-09",3,11.3
804600,"1995-05-09",4,11.2
804600,"1995-05-09",5,11
804600,"1995-05-09",6,10.5
804600,"1995-05-09",7,10.4
804600,"1995-05-09",8,10.2
804600,"1995-05-09",9,9.8
804600,"1995-05-09",10,9.5
804600,"1995-05-09",11,9.4
804600,"1995-05-09",12,9.4
804600,"1995-05-09",13,9.2
804600,"1995-05-09",14,9
804600,"1995-05-09",15,9
804600,"1995-05-09",16,8.9
804600,"1995-05-09",17,8.9
804600,"1995-05-09",18,8.8
804600,"1995-05-23",0,15.3
804600,"1995-05-23",2,15.4
804600,"1995-05-23",3,15.4
804600,"1995-05-23",4,15.3
804600,"1995-05-23",5,15
804600,"1995-05-23",6,14.9
804600,"1995-05-23",7,14.9
804600,"1995-05-23",8,14.9
804600,"1995-05-23",9,14.6
804600,"1995-05-23",10,13.4
804600,"1995-05-23",11,12
804600,"1995-05-23",12,11.8
804600,"1995-05-23",13,11.5
804600,"1995-05-23",14,10.8
804600,"1995-05-23",15,10.3
804600,"1995-05-23",16,10.3
804600,"1995-05-23",17,10.2
804600,"1995-06-06",0,22.4
804600,"1995-06-06",1,22.3
804600,"1995-06-06",2,22.2
804600,"1995-06-06",3,20.8
804600,"1995-06-06",4,17.7
804600,"1995-06-06",5,16.3
804600,"1995-06-06",6,15.8
804600,"1995-06-06",7,15.6
804600,"1995-06-06",8,15.3
804600,"1995-06-06",9,14.6
804600,"1995-06-06",10,13.9
804600,"1995-06-06",11,13
804600,"1995-06-06",12,12.4
804600,"1995-06-06",13,11.9
804600,"1995-06-06",14,11.3
804600,"1995-06-06",15,10.8
804600,"1995-06-06",16,10.5
804600,"1995-06-06",17,10.4
804600,"1995-06-06",18,10.4
804600,"1995-06-21",0,27.6
804600,"1995-06-21",1,27.4
804600,"1995-06-21",2,26.9
804600,"1995-06-21",3,25.1
804600,"1995-06-21",4,21.5
804600,"1995-06-21",5,20.3
804600,"1995-06-21",6,19.1
804600,"1995-06-21",7,17.7
804600,"1995-06-21",8,16.6
804600,"1995-06-21",9,15.3
804600,"1995-06-21",10,14.3
804600,"1995-06-21",11,13.4
804600,"1995-06-21",12,12.6
804600,"1995-06-21",13,12.2
804600,"1995-06-21",14,11.7
804600,"1995-06-21",15,11.5
804600,"1995-06-21",16,11.5
804600,"1995-06-21",17,11.4
804600,"1995-06-21",18,11.3
804600,"1995-06-21",19,11.3
804600,"1995-06-21",20,11.3
804600,"1995-07-07",0,20.9
804600,"1995-07-07",1,21.1
804600,"1995-07-07",2,21.2
804600,"1995-07-07",3,21.2
804600,"1995-07-07",4,21.2
804600,"1995-07-07",5,21.2
804600,"1995-07-07",6,21.2
804600,"1995-07-07",7,21.2
804600,"1995-07-07",8,20.8
804600,"1995-07-07",9,17.2
804600,"1995-07-07",10,16
804600,"1995-07-07",11,14.6
804600,"1995-07-07",12,13.2
804600,"1995-07-07",13,12.6
804600,"1995-07-07",14,12
804600,"1995-07-07",15,11.8
804600,"1995-07-07",16,11.7
804600,"1995-07-07",17,11.7
804600,"1995-07-18",0,25.8
804600,"1995-07-18",1,25.8
804600,"1995-07-18",2,25.7
804600,"1995-07-18",3,25.6
804600,"1995-07-18",4,25.4
804600,"1995-07-18",5,25.2
804600,"1995-07-18",6,22.1
804600,"1995-07-18",7,20.4
804600,"1995-07-18",8,19.1
804600,"1995-07-18",9,17.1
804600,"1995-07-18",10,14.8
804600,"1995-07-18",11,13.4
804600,"1995-07-18",12,12.9
804600,"1995-07-18",13,12.6
804600,"1995-07-18",14,12.5
804600,"1995-07-18",15,12.3
804600,"1995-07-18",16,12.2
804600,"1995-07-18",17,12.1
804600,"1995-07-18",18,12.2
804600,"1995-07-18",19,12.2
804600,"1995-08-02",0,26
804600,"1995-08-02",1,26.1
804600,"1995-08-02",2,26.2
804600,"1995-08-02",3,26.2
804600,"1995-08-02",4,26.2
804600,"1995-08-02",5,26.2
804600,"1995-08-02",5.5,26
804600,"1995-08-02",6,25.1
804600,"1995-08-02",6.5,23.5
804600,"1995-08-02",7,22.2
804600,"1995-08-02",7.5,21.3
804600,"1995-08-02",8,20.5
804600,"1995-08-02",9,17.5
804600,"1995-08-02",9.5,16.6
804600,"1995-08-02",10,15.5
804600,"1995-08-02",11,14.8
804600,"1995-08-02",12,13.6
804600,"1995-08-02",13,12.9
804600,"1995-08-02",14,12.5
804600,"1995-08-02",15,12.3
804600,"1995-08-02",16,12.3
804600,"1995-08-02",17,12.2
804600,"1995-08-02",18,12.2
804600,"1995-08-02",19,12.2
804600,"1995-08-02",20,12.3
804600,"1995-08-14",0,27.8
804600,"1995-08-14",1,27.9
804600,"1995-08-14",2,27.9
804600,"1995-08-14",3,27.9
804600,"1995-08-14",4,27.6
804600,"1995-08-14",5,26.6
804600,"1995-08-14",5.5,26.3
804600,"1995-08-14",6,25.3
804600,"1995-08-14",6.5,24.7
804600,"1995-08-14",7,24.5
804600,"1995-08-14",7.5,20.8
804600,"1995-08-14",8,18.9
804600,"1995-08-14",8.5,17
804600,"1995-08-14",9,16.1
804600,"1995-08-14",9.5,15.3
804600,"1995-08-14",10,14.8
804600,"1995-08-14",10.5,14.1
804600,"1995-08-14",11,13.7
804600,"1995-08-14",11.5,13.5
804600,"1995-08-14",12,13.4
804600,"1995-08-14",13,13.3
804600,"1995-08-14",14,13
804600,"1995-08-14",15,12.6
804600,"1995-08-14",16,12.5
804600,"1995-08-14",17,12.4
804600,"1995-08-14",18,12.4
804600,"1995-08-14",19,12.4
804600,"1995-08-14",20,12.4
804600,"1995-08-30",0,26
804600,"1995-08-30",1,26
804600,"1995-08-30",2,25.9
