"WBIC"	"DATETIME"	"DEPTH"	"WTEMP"	"WTEMP_MOD"
804600	"1995-05-09"	0	11.3	10.4774991306986
804600	"1995-05-09"	1	11.3	10.4774991301183
804600	"1995-05-09"	2	11.3	10.4774991094392
804600	"1995-05-09"	3	11.3	10.4774975994775
804600	"1995-05-09"	4	11.2	10.4767755028206
804600	"1995-05-09"	5	11	10.4716879461667
804600	"1995-05-09"	6	10.5	10.4595876865544
804600	"1995-05-09"	7	10.4	10.4365634507966
804600	"1995-05-09"	8	10.2	10.2859022647635
804600	"1995-05-09"	9	9.8	9.429541815512
804600	"1995-05-09"	10	9.5	8.14313070386652
804600	"1995-05-09"	11	9.4	7.90117506825061
804600	"1995-05-09"	12	9.4	7.88777891447938
804600	"1995-05-09"	13	9.2	7.88444605283709
804600	"1995-05-09"	14	9	7.8819008927653
804600	"1995-05-09"	15	9	7.87893606927773
804600	"1995-05-09"	16	8.9	7.87565981306996
804600	"1995-05-09"	17	8.9	7.86987427278689
804600	"1995-05-09"	18	8.8	7.85931847901989
804600	"1995-05-23"	0	15.3	14.5508951035526
804600	"1995-05-23"	2	15.4	14.5508869282503
804600	"1995-05-23"	3	15.4	14.5504991115338
804600	"1995-05-23"	4	15.3	14.5501497874637
804600	"1995-05-23"	5	15	14.5214374449408
804600	"1995-05-23"	6	14.9	14.5107171982749
804600	"1995-05-23"	7	14.9	11.7074537200592
804600	"1995-05-23"	8	14.9	10.5922535314913
804600	"1995-05-23"	9	14.6	9.55381456932326
804600	"1995-05-23"	10	13.4	8.76447115817449
804600	"1995-05-23"	11	12	8.31343472420977
804600	"1995-05-23"	12	11.8	8.04973528543123
804600	"1995-05-23"	13	11.5	7.94653947699191
804600	"1995-05-23"	14	10.8	7.90470116981446
804600	"1995-05-23"	15	10.3	7.88685351882256
804600	"1995-05-23"	16	10.3	7.8785440825554
804600	"1995-05-23"	17	10.2	7.87125847052179
804600	"1995-06-06"	0	22.4	21.7088801224613
804600	"1995-06-06"	1	22.3	21.2928114045765
804600	"1995-06-06"	2	22.2	17.1676391229502
804600	"1995-06-06"	3	20.8	15.9912165123776
804600	"1995-06-06"	4	17.7	15.6603649715681
804600	"1995-06-06"	5	16.3	15.3382502610878
804600	"1995-06-06"	6	15.8	15.0605817300559
804600	"1995-06-06"	7	15.6	13.9293493842485
804600	"1995-06-06"	8	15.3	10.7309688200976
804600	"1995-06-06"	9	14.6	9.58310818351497
804600	"1995-06-06"	10	13.9	8.87440228945197
804600	"1995-06-06"	11	13	8.45957026765468
804600	"1995-06-06"	12	12.4	8.161636744729
804600	"1995-06-06"	13	11.9	8.01253525467504
804600	"1995-06-06"	14	11.3	7.93957095271202
804600	"1995-06-06"	15	10.8	7.90277106805237
804600	"1995-06-06"	16	10.5	7.88509079681059
804600	"1995-06-06"	17	10.4	7.87341136543613
804600	"1995-06-06"	18	10.4	7.86071641980726
804600	"1995-06-21"	0	27.6	26.9870497617353
804600	"1995-06-21"	1	27.4	26.6712006383977
804600	"1995-06-21"	2	26.9	25.0168193830247
804600	"1995-06-21"	3	25.1	20.5350275648857
804600	"1995-06-21"	4	21.5	17.6061769808289
804600	"1995-06-21"	5	20.3	15.7810960103735
804600	"1995-06-21"	6	19.1	14.9975738896245
804600	"1995-06-21"	7	17.7	13.9162373610588
804600	"1995-06-21"	8	16.6	10.8215576623314
804600	"1995-06-21"	9	15.3	9.65701646642851
804600	"1995-06-21"	10	14.3	8.95292467898829
804600	"1995-06-21"	11	13.4	8.54174618684067
804600	"1995-06-21"	12	12.6	8.23261672405047
804600	"1995-06-21"	13	12.2	8.06085463679653
804600	"1995-06-21"	14	11.7	7.9668739372731
804600	"1995-06-21"	15	11.5	7.91596301737347
804600	"1995-06-21"	16	11.5	7.89096814010241
804600	"1995-06-21"	17	11.4	7.87545808820912
804600	"1995-06-21"	18	11.3	7.86110800644155
804600	"1995-06-21"	19	11.3	7.84422099931426
804600	"1995-06-21"	20	11.3	7.80521158987823
804600	"1995-07-07"	0	20.9	21.1904991833488
804600	"1995-07-07"	1	21.1	21.1904953200963
804600	"1995-07-07"	2	21.2	21.1904599191238
804600	"1995-07-07"	3	21.2	21.1890120294726
804600	"1995-07-07"	4	21.2	21.135490215159
804600	"1995-07-07"	5	21.2	19.3346211899592
804600	"1995-07-07"	6	21.2	15.3880100604523
804600	"1995-07-07"	7	21.2	13.7453080853382
804600	"1995-07-07"	8	20.8	10.894357496987
804600	"1995-07-07"	9	17.2	9.78927758371564
804600	"1995-07-07"	10	16	9.0972145994297
804600	"1995-07-07"	11	14.6	8.68614423826029
804600	"1995-07-07"	12	13.2	8.34455070247754
804600	"1995-07-07"	13	12.6	8.13410039654556
804600	"1995-07-07"	14	12	8.00644039901535
804600	"1995-07-07"	15	11.8	7.93366103890247
804600	"1995-07-07"	16	11.7	7.89817423966857
804600	"1995-07-07"	17	11.7	7.87773130981748
804600	"1995-07-18"	0	25.8	25.6013358204412
804600	"1995-07-18"	1	25.8	25.5932835509703
804600	"1995-07-18"	2	25.7	25.5373878612081
804600	"1995-07-18"	3	25.6	23.1097326849724
804600	"1995-07-18"	4	25.4	21.7356342328789
804600	"1995-07-18"	5	25.2	19.5313914528473
804600	"1995-07-18"	6	22.1	15.9035653811452
804600	"1995-07-18"	7	20.4	13.766743436775
804600	"1995-07-18"	8	19.1	10.918721989189
804600	"1995-07-18"	9	17.1	9.85626142057284
804600	"1995-07-18"	10	14.8	9.16150673468446
804600	"1995-07-18"	11	13.4	8.73907919984417
804600	"1995-07-18"	12	12.9	8.38192679351912
804600	"1995-07-18"	13	12.6	8.15743206874571
804600	"1995-07-18"	14	12.5	8.01916425136734
804600	"1995-07-18"	15	12.3	7.93965309999056
804600	"1995-07-18"	16	12.2	7.90080434933523
804600	"1995-07-18"	17	12.1	7.87863884964232
804600	"1995-07-18"	18	12.2	7.8615612306644
804600	"1995-07-18"	19	12.2	7.84410692308824
804600	"1995-08-02"	0	26	26.6041141080825
804600	"1995-08-02"	1	26.1	26.6040982976475
804600	"1995-08-02"	2	26.2	26.6038397280511
804600	"1995-08-02"	3	26.2	26.5888282426363
804600	"1995-08-02"	4	26.2	23.493609347185
804600	"1995-08-02"	5	26.2	19.7038074824031
804600	"1995-08-02"	5.5	26	17.9538356518415
804600	"1995-08-02"	6	25.1	16.218437895544
804600	"1995-08-02"	6.5	23.5	14.9804244964972
804600	"1995-08-02"	7	22.2	13.8267018320619
804600	"1995-08-02"	7.5	21.3	12.8546109822225
804600	"1995-08-02"	8	20.5	10.9470022065874
804600	"1995-08-02"	9	17.5	9.91830544372083
804600	"1995-08-02"	9.5	16.6	9.46081464794086
804600	"1995-08-02"	10	15.5	9.22804400824035
804600	"1995-08-02"	11	14.8	8.79561865727311
804600	"1995-08-02"	12	13.6	8.41982426145612
804600	"1995-08-02"	13	12.9	8.17934635337027
804600	"1995-08-02"	14	12.5	8.03016420312608
804600	"1995-08-02"	15	12.3	7.94449772562942
804600	"1995-08-02"	16	12.3	7.90285566376541
804600	"1995-08-02"	17	12.2	7.87934303579018
804600	"1995-08-02"	18	12.2	7.86160347353752
804600	"1995-08-02"	19	12.2	7.84395961197563
804600	"1995-08-02"	20	12.3	7.80701988627508
804600	"1995-08-14"	0	27.8	28.7480564622576
804600	"1995-08-14"	1	27.9	28.7480159975781
804600	"1995-08-14"	2	27.9	28.7475672570237
804600	"1995-08-14"	3	27.9	28.7189071848592
804600	"1995-08-14"	4	27.6	24.4852967730553
804600	"1995-08-14"	5	26.6	19.8778174142872
804600	"1995-08-14"	5.5	26.3	18.1415406338286
804600	"1995-08-14"	6	25.3	16.4171786929371
804600	"1995-08-14"	6.5	24.7	15.0994466835577
804600	"1995-08-14"	7	24.5	13.8825594100189
804600	"1995-08-14"	7.5	20.8	12.8829749331343
804600	"1995-08-14"	8	18.9	10.9710025130531
804600	"1995-08-14"	8.5	17	10.4333639728849
804600	"1995-08-14"	9	16.1	9.9656307836068
804600	"1995-08-14"	9.5	15.3	9.51565469513733
804600	"1995-08-14"	10	14.8	9.28126524879302
804600	"1995-08-14"	10.5	14.1	9.06280231696385
804600	"1995-08-14"	11	13.7	8.84210799865122
804600	"1995-08-14"	11.5	13.5	8.61803744614121
804600	"1995-08-14"	12	13.4	8.45095159807531
804600	"1995-08-14"	13	13.3	8.19725607808456
804600	"1995-08-14"	14	13	8.03912920061375
804600	"1995-08-14"	15	12.6	7.94844479361469
804600	"1995-08-14"	16	12.5	7.90453139185423
804600	"1995-08-14"	17	12.4	7.87992480200218
804600	"1995-08-14"	18	12.4	7.861652772978
804600	"1995-08-14"	19	12.4	7.84386599612241
804600	"1995-08-14"	20	12.4	7.80747506757813
804600	"1995-08-30"	0	26	26.2163111420775
804600	"1995-08-30"	1	26	26.2161709169891
804600	"1995-08-30"	2	25.9	26.2154148802575
804600	"1995-08-30"	3	25.9	26.2040612523831
804600	"1995-08-30"	4	25.7	25.4273643914977
804600	"1995-08-30"	5	25.6	22.3908128678951
804600	"1995-08-30"	6	25.6	16.8430869514063
804600	"1995-08-30"	7	25.5	13.9614028792572
804600	"1995-08-30"	7.5	23.4	12.8947130705775
804600	"1995-08-30"	8	22.7	10.9935418192145
804600	"1995-08-30"	8.5	19	10.4746444601011
804600	"1995-08-30"	9	17.9	10.0221916876093
804600	"1995-08-30"	9.5	15.9	9.58661692528139
804600	"1995-08-30"	10	15.5	9.35261894741803
804600	"1995-08-30"	11	14.5	8.90944694804708
804600	"1995-08-30"	12	13.9	8.5007349492836
804600	"1995-08-30"	13	13.4	8.22776279806239
804600	"1995-08-30"	14	13	8.05507608685951
804600	"1995-08-30"	15	12.7	7.95557124706077
804600	"1995-08-30"	16	12.6	7.90752577526683
804600	"1995-08-30"	17	12.5	7.88093802427041
804600	"1995-08-30"	18	12.5	7.86177861143303
804600	"1995-08-30"	19	12.4	7.84378904716844
804600	"1995-08-30"	19.5	12.4	7.82561069037733
804600	"1995-09-11"	0	21.4	20.767816162721
804600	"1995-09-11"	1	21.4	20.7678161501372
804600	"1995-09-11"	2	21.4	20.7678158199246
804600	"1995-09-11"	3	21.1	20.7677587185333
804600	"1995-09-11"	4	21	20.7677053048892
804600	"1995-09-11"	5	21	20.7501406613544
804600	"1995-09-11"	6	21	20.7066558478915
804600	"1995-09-11"	7	21	14.2739717321295
804600	"1995-09-11"	8	20.9	10.9624203699518
804600	"1995-09-11"	9	20.8	10.0680598991818
804600	"1995-09-11"	9.5	20.7	9.66577350913895
804600	"1995-09-11"	10	17.7	9.43965082736195
804600	"1995-09-11"	10.5	17	9.22654228147519
804600	"1995-09-11"	11	15.5	9.00512550772524
804600	"1995-09-11"	11.5	14.7	8.77113783994172
804600	"1995-09-11"	12	14.1	8.583193340304
804600	"1995-09-11"	12.5	13.8	8.41432341705762
804600	"1995-09-11"	13	13.5	8.28427038135653
804600	"1995-09-11"	13.5	13.2	8.17426868099286
804600	"1995-09-11"	14	13	8.08719992617996
804600	"1995-09-11"	14.5	12.8	8.01983758435059
804600	"1995-09-11"	15	12.7	7.97044707189005
804600	"1995-09-11"	15.5	12.6	7.93140254970633
804600	"1995-09-11"	16	12.5	7.91370171238667
804600	"1995-09-11"	17	12.4	7.88290772978642
804600	"1995-09-11"	18	12.4	7.86211347691305
804600	"1995-09-11"	19	12.4	7.84384745898052
804600	"1995-09-11"	20	12.4	7.80854841202214
804600	"1995-09-11"	21	12.3	7.77878056507399
804600	"1995-09-25"	0	16.4	15.1826235008142
804600	"1995-09-25"	1	16.4	15.1826235008142
804600	"1995-09-25"	2	16.4	15.1826235008142
804600	"1995-09-25"	3	16.4	15.1826235003826
804600	"1995-09-25"	4	16.4	15.1826233038723
804600	"1995-09-25"	5	16.4	15.1826000368741
804600	"1995-09-25"	6	16.4	15.1825269310828
804600	"1995-09-25"	7	16.2	15.1804897140485
804600	"1995-09-25"	8	16.2	15.1600389435779
804600	"1995-09-25"	9	16.2	12.8508589446971
804600	"1995-09-25"	10	16.2	9.44598103788738
804600	"1995-09-25"	11	16.1	8.99967031345631
804600	"1995-09-25"	11.5	16.1	8.82151343766152
804600	"1995-09-25"	12	15.2	8.66909910893557
804600	"1995-09-25"	12.5	14.9	8.52601486857985
804600	"1995-09-25"	13	14.5	8.40040460635324
804600	"1995-09-25"	13.5	13.7	8.2887218415633
804600	"1995-09-25"	14	13.3	8.19296811765762
804600	"1995-09-25"	14.5	13	8.11340106835636
804600	"1995-09-25"	15	12.7	8.04859592190788
804600	"1995-09-25"	15.5	12.6	7.99514535583522
804600	"1995-09-25"	16	12.5	7.9651191869272
804600	"1995-09-25"	17	12.4	7.91022039185744
804600	"1995-09-25"	18	12.3	7.87239084548237
804600	"1995-09-25"	19	12.3	7.84856092547785
804600	"1995-10-11"	0	15.3	14.6380885643212
804600	"1995-10-11"	1	15.3	14.6380885643212
