"WBIC","# Sampling Events","# Samples per Year","Earliest Year","Latest Year","N Years Unsampled (from 1990-2012)","# Individual Observations"
793600,474,22,1990,2013,1,3548
1842400,427,19,1990,2012,0,8438
2014700,425,18,1990,2013,0,5941
2017500,423,18,1990,2013,0,1268
1835300,409,18,1990,2012,0,8068
1881900,409,18,1990,2012,0,7683
2331600,407,18,1990,2012,0,13311
2332400,407,18,1990,2012,0,3229
804600,358,16,1990,2012,0,6940
805400,332,14,1990,2012,0,7871
985100,314,14,1990,2012,0,5977
805000,260,15,1996,2012,6,1288
287200,232,18,1998,2011,10,926
1593800,224,15,1998,2012,8,1309
30300,203,14,1997,2012,8,2294
1377100,203,17,1994,2012,11,4477
406900,193,14,1993,2012,9,963
396500,175,8,1990,2012,0,2039
2094100,175,10,1994,2012,6,1034
2068000,165,8,1993,2012,3,1466
2351400,165,7,1990,2012,0,1353
737900,164,11,1996,2010,8,1502
1260600,161,11,1995,2012,8,1572
1835500,156,10,1998,2012,8,790
1601300,155,12,2000,2012,10,967
1588200,154,8,1990,2012,4,2852
672900,152,8,1992,2012,3,1800
779300,149,10,1993,2011,8,971
45200,137,6,1990,2011,1,1112
2499000,136,6,1990,2012,0,569
835800,134,6,1990,2012,1,532
968800,133,6,1990,2013,0,1002
389300,127,6,1990,2012,0,447
716800,126,5,1990,2012,0,1336
830700,124,5,1990,2012,0,1040
186400,123,6,1992,2012,2,997
2641000,123,7,1996,2012,6,786
2435000,122,11,1999,2012,12,1004
2692900,121,7,1994,2011,5,1373
1542400,120,5,1990,2012,1,1189
2435700,120,5,1990,2012,0,1171
25300,119,5,1990,2012,0,1239
1345700,119,15,1993,2012,15,2920
2393200,119,5,1990,2012,0,1408
853200,114,5,1990,2011,2,946
1022900,113,10,2001,2012,12,921
2152800,113,5,1990,2012,1,2032
28100,112,5,1990,2011,1,864
2460700,108,6,1995,2011,6,763
1623800,107,7,1996,2012,8,1444
2615100,106,5,1990,2011,1,466
2294900,105,7,1998,2012,8,2951
1540400,103,6,1994,2012,5,718
299100,102,5,1990,2012,1,949
1019500,102,4,1990,2012,0,1012
104000,101,7,1992,2012,8,3560
555700,101,6,1994,2012,6,715
750800,101,5,1993,2012,3,985
1527800,100,10,1991,2012,13,756
2618000,100,5,1991,2012,3,843
68300,99,4,1990,2012,1,889
98600,99,5,1993,2012,3,364
2678100,99,7,1997,2012,8,800
417400,97,5,1991,2011,2,893
97700,96,5,1990,2012,5,489
2106800,96,5,1992,2011,4,2512
827100,95,5,1992,2012,2,862
2081200,95,6,1992,2011,7,1617
2417000,95,5,1993,2012,3,901
38700,94,5,1990,2008,5,682
692900,93,5,1993,2012,3,672
163970,92,5,1995,2012,5,986
345100,91,5,1994,2012,4,692
692400,91,5,1993,2012,3,601
2453500,91,6,1997,2012,7,701
2618100,91,5,1991,2012,3,619
2619400,91,4,1990,2011,2,1436
1579900,90,5,1990,2012,6,702
1630100,90,8,2002,2012,12,949
2236800,90,4,1993,2012,3,355
763600,89,5,1993,2011,4,903
850800,89,4,1990,2012,0,747
854300,89,4,1992,2011,3,771
1589100,88,4,1992,2011,3,604
2306300,88,6,1998,2012,9,794
2490500,88,5,1994,2012,6,1019
2079700,87,4,1990,2011,3,593
2109600,87,5,1993,2012,7,762
2620000,86,5,1993,2012,4,583
968100,84,5,1994,2011,5,725
2495100,84,5,1993,2011,6,692
146100,83,5,1990,2010,5,662
2693800,83,4,1993,2012,4,785
131100,82,4,1990,2012,3,1159
1538600,82,5,1993,2012,5,488
1605800,82,4,1994,2012,4,707
2283300,82,4,1990,2012,2,495
2310400,82,5,1993,2012,5,507
2493100,82,4,1993,2012,4,615
2624200,82,5,1994,2011,5,451
826300,81,5,1995,2012,6,1264
775000,79,3,1990,2012,0,439
1564200,79,4,1990,2012,3,838
1569900,79,6,1995,2012,9,648
195400,77,5,1996,2012,6,684
1629500,76,5,1996,2012,8,635
2310200,75,4,1992,2012,5,627
2485700,75,6,2001,2012,11,927
2693700,75,4,1994,2012,6,794
2897100,75,4,1991,2011,4,994
855200,74,4,1992,2012,5,789
1596300,74,6,1996,2012,11,1326
2615900,73,5,1995,2012,8,519
2953500,72,4,1993,2011,4,656
766600,71,4,1994,2012,6,1124
969600,71,5,1997,2011,9,657
2392000,71,5,1996,2012,9,873
2616100,71,5,1995,2012,8,696
373500,70,5,1996,2011,9,592
741500,70,4,1990,2012,5,548
2390800,70,4,1990,2012,5,619
653700,69,4,1992,2012,5,737
117500,68,5,1992,2012,9,823
162500,68,5,1990,2012,8,602
179800,68,5,1995,2011,9,619
588000,68,4,1992,2012,5,588
747900,65,3,1990,2011,4,638
394400,64,5,1999,2012,9,695
322800,62,4,1999,2012,9,713
1412200,62,4,1990,2012,8,530
2694000,62,5,2000,2012,10,2046
2661100,61,4,1994,2012,6,884
2330800,58,4,2000,2012,10,619
2858100,57,4,1990,2010,10,436
843400,55,6,2000,2012,14,339
2650900,54,3,1994,2012,7,452
180300,53,6,1993,2011,14,589
981200,51,4,2000,2012,10,556
2079800,51,5,1999,2012,13,719
2320800,50,4,2000,2011,11,632
1296000,37,5,1993,2012,15,299
1378100,27,3,1991,2012,15,534
