site_id	date	secchi_meter
WBIC_1527800	1985-04-28	2.7432
WBIC_1378100	1985-10-29	1.2192
WBIC_1378100	1985-10-29	1.2192
WBIC_1378100	1985-10-29	1.3716
WBIC_1378100	1985-10-29	2.286
WBIC_1378100	1985-10-29	1.8288
WBIC_1378100	1985-10-29	2.1336
WBIC_758300	1986-02-12	4.572
WBIC_1005800	1986-04-14	4.2672
WBIC_1005800	1986-04-21	4.572
WBIC_758300	1986-04-23	4.8768
WBIC_1005800	1986-04-30	4.8768
WBIC_848800	1986-05-03	2.4384
WBIC_1005800	1986-05-07	3.9624
WBIC_1378100	1986-05-08	1.8288
WBIC_1378100	1986-05-08	2.286
WBIC_1378100	1986-05-08	2.1336
WBIC_1378100	1986-05-08	2.7432
WBIC_1378100	1986-05-08	2.7432
WBIC_1378100	1986-05-08	2.7432
WBIC_397100	1986-05-10	3.3528
WBIC_399200	1986-05-10	1.0668
WBIC_1005800	1986-05-12	5.1816
WBIC_397100	1986-05-17	3.3528
WBIC_399200	1986-05-17	1.3716
WBIC_2706800	1986-05-21	4.2672
WBIC_805000	1986-05-23	0.9144
WBIC_1005800	1986-05-23	4.8768
WBIC_397100	1986-05-24	2.1336
WBIC_399200	1986-05-24	1.3716
WBIC_25300	1986-05-28	4.572
WBIC_25300	1986-05-28	2.1336
WBIC_968800	1986-05-31	7.0104
WBIC_397100	1986-05-31	2.7432
WBIC_1588200	1986-05-31	6.5532
WBIC_1588200	1986-05-31	7.0104
WBIC_399200	1986-05-31	1.2192
WBIC_805000	1986-06-01	0.9144
WBIC_1536300	1986-06-01	4.8006
WBIC_793600	1986-06-04	2.5908
WBIC_1515200	1986-06-04	2.4384
WBIC_180300	1986-06-04	0.9906
WBIC_1610700	1986-06-06	1.2954
WBIC_1598900	1986-06-06	3.6576
WBIC_397100	1986-06-07	1.8288
WBIC_717400	1986-06-07	3.5814
WBIC_399200	1986-06-07	1.2192
WBIC_968800	1986-06-08	5.4864
WBIC_2706800	1986-06-08	4.191
WBIC_805000	1986-06-08	0.9144
WBIC_1005800	1986-06-08	3.9624
WBIC_1536300	1986-06-08	4.572
WBIC_758300	1986-06-09	7.0104
WBIC_2105100	1986-06-10	2.286
WBIC_793600	1986-06-11	2.8194
WBIC_180300	1986-06-12	0.8382
WBIC_1513000	1986-06-12	0.4572
WBIC_1378100	1986-06-13	2.4384
WBIC_1378100	1986-06-13	2.1336
WBIC_1378100	1986-06-13	2.1336
WBIC_1378100	1986-06-13	2.1336
WBIC_1378100	1986-06-13	2.286
WBIC_1378100	1986-06-13	2.7432
WBIC_439800	1986-06-13	5.334
WBIC_2706800	1986-06-14	3.6576
WBIC_1598900	1986-06-14	2.7432
WBIC_397100	1986-06-14	2.4384
WBIC_1515200	1986-06-14	1.6764
WBIC_717400	1986-06-14	2.667
WBIC_399200	1986-06-14	1.2192
WBIC_717400	1986-06-15	2.4384
WBIC_1536300	1986-06-15	3.5814
WBIC_25300	1986-06-17	3.9624
WBIC_25300	1986-06-17	2.1336
WBIC_793600	1986-06-17	2.0574
WBIC_439800	1986-06-17	5.334
WBIC_805000	1986-06-18	0.6096
WBIC_397100	1986-06-18	2.5908
WBIC_180300	1986-06-18	0.6858
WBIC_399200	1986-06-18	1.0668
WBIC_1598900	1986-06-19	2.7432
WBIC_2105100	1986-06-20	3.3528
WBIC_1005800	1986-06-20	4.572
WBIC_1610700	1986-06-22	1.524
WBIC_717400	1986-06-22	3.048
WBIC_1536300	1986-06-22	2.667
WBIC_793600	1986-06-23	1.6002
WBIC_1513000	1986-06-23	0.4572
WBIC_968800	1986-06-24	5.0292
WBIC_716800	1986-06-24	1.8288
WBIC_716800	1986-06-24	1.6764
WBIC_25300	1986-06-25	4.2672
WBIC_25300	1986-06-25	2.1336
WBIC_848800	1986-06-25	2.4384
WBIC_180300	1986-06-25	0.6858
WBIC_2706800	1986-06-26	2.4384
WBIC_1598900	1986-06-26	2.7432
WBIC_396500	1986-06-26	6.5532
WBIC_397100	1986-06-26	2.4384
WBIC_399200	1986-06-26	1.2192
WBIC_439800	1986-06-26	5.0292
WBIC_1005800	1986-06-27	3.3528
WBIC_805000	1986-06-28	0.6096
WBIC_717400	1986-06-28	3.429
WBIC_1588200	1986-06-28	5.5626
WBIC_1588200	1986-06-28	6.0198
WBIC_1536300	1986-06-29	3.048
WBIC_2105100	1986-06-30	2.286
WBIC_716800	1986-06-30	1.3716
WBIC_716800	1986-06-30	1.0668
WBIC_25300	1986-07-02	3.6576
WBIC_25300	1986-07-02	2.1336
WBIC_180300	1986-07-02	0.8382
WBIC_2706800	1986-07-03	3.2004
WBIC_1598900	1986-07-03	2.5908
WBIC_848800	1986-07-03	2.5146
WBIC_396500	1986-07-03	6.477
WBIC_1513000	1986-07-03	0.4572
WBIC_2706800	1986-07-04	2.4384
WBIC_439800	1986-07-04	5.0292
WBIC_1579700	1986-07-06	1.9812
WBIC_716800	1986-07-06	1.0668
WBIC_716800	1986-07-06	0.9906
WBIC_805000	1986-07-06	0.5334
WBIC_717400	1986-07-06	3.6576
WBIC_717400	1986-07-06	2.9718
WBIC_1536300	1986-07-06	2.4384
WBIC_399200	1986-07-06	0.9144
WBIC_2334700	1986-07-07	3.6576
WBIC_793600	1986-07-07	0.0762
WBIC_1005800	1986-07-07	4.572
WBIC_417400	1986-07-08	5.0292
WBIC_827100	1986-07-08	2.667
WBIC_25300	1986-07-09	3.3528
WBIC_25300	1986-07-09	2.1336
WBIC_848800	1986-07-09	2.286
WBIC_180300	1986-07-09	0.762
WBIC_2495100	1986-07-09	6.9342
WBIC_439800	1986-07-09	5.0292
WBIC_2706800	1986-07-10	2.8956
WBIC_1598900	1986-07-10	2.7432
WBIC_1610700	1986-07-11	1.6002
WBIC_1378100	1986-07-11	2.286
WBIC_1378100	1986-07-11	2.1336
WBIC_1378100	1986-07-11	1.8288
WBIC_1378100	1986-07-11	2.1336
WBIC_1378100	1986-07-11	2.1336
WBIC_1378100	1986-07-11	2.4384
WBIC_716800	1986-07-12	1.2192
WBIC_716800	1986-07-12	1.2954
WBIC_1513000	1986-07-12	0.4572
WBIC_1536300	1986-07-12	2.5146
WBIC_2334700	1986-07-14	4.1148
WBIC_2706800	1986-07-14	2.4384
WBIC_793600	1986-07-14	0.8382
WBIC_1579700	1986-07-14	1.3716
WBIC_717400	1986-07-14	4.7244
WBIC_439800	1986-07-14	4.953
WBIC_2392000	1986-07-14	3.5052
WBIC_1005800	1986-07-15	4.2672
WBIC_1515200	1986-07-15	1.3716
WBIC_758300	1986-07-16	3.3528
WBIC_848800	1986-07-16	2.0574
WBIC_397100	1986-07-16	1.524
WBIC_180300	1986-07-16	0.6858
WBIC_2742700	1986-07-16	6.49224
WBIC_399200	1986-07-16	0.9144
WBIC_417400	1986-07-17	3.9624
WBIC_2464500	1986-07-17	2.4384
WBIC_2464500	1986-07-17	2.5908
WBIC_692900	1986-07-17	4.0386
WBIC_853200	1986-07-17	2.0574
WBIC_1598900	1986-07-17	3.048
WBIC_396500	1986-07-17	6.7056
WBIC_858300	1986-07-17	1.6764
WBIC_816800	1986-07-17	0.9144
WBIC_816800	1986-07-17	0.8382
WBIC_816800	1986-07-17	1.2192
WBIC_816800	1986-07-17	0.9144
WBIC_1579700	1986-07-18	1.6764
WBIC_716800	1986-07-18	0.9144
WBIC_716800	1986-07-18	0.9144
WBIC_2495100	1986-07-18	6.096
WBIC_1579700	1986-07-19	1.9812
WBIC_717400	1986-07-19	4.8768
WBIC_717400	1986-07-20	4.2672
WBIC_1536300	1986-07-20	2.5908
WBIC_1588200	1986-07-20	4.8006
WBIC_1588200	1986-07-20	4.953
WBIC_439800	1986-07-20	4.6482
WBIC_25300	1986-07-21	2.4384
WBIC_25300	1986-07-21	1.8288
WBIC_1515200	1986-07-21	1.0668
WBIC_968800	1986-07-22	3.6576
WBIC_2334700	1986-07-22	3.2766
WBIC_793600	1986-07-22	0.762
WBIC_1005800	1986-07-22	4.572
WBIC_2392000	1986-07-22	3.6576
WBIC_2350500	1986-07-23	2.4384
WBIC_2350600	1986-07-23	3.3528
WBIC_2350200	1986-07-23	2.4384
WBIC_716800	1986-07-23	0.762
WBIC_716800	1986-07-23	0.762
WBIC_397100	1986-07-23	1.8288
WBIC_180300	1986-07-23	0.6096
WBIC_399200	1986-07-23	0.9144
WBIC_848800	1986-07-24	1.8288
WBIC_396500	1986-07-24	6.477
WBIC_858300	1986-07-24	1.7526
WBIC_2169200	1986-07-24	1.8288
WBIC_827100	1986-07-24	2.7432
WBIC_1598900	1986-07-25	2.5908
WBIC_805000	1986-07-25	0.6096
WBIC_439800	1986-07-25	4.4196
WBIC_2706800	1986-07-26	2.4384
WBIC_1579700	1986-07-26	1.4478
WBIC_1513000	1986-07-26	0.4572
WBIC_1588200	1986-07-26	4.953
WBIC_1588200	1986-07-26	5.1816
WBIC_2464500	1986-07-27	2.5908
WBIC_2464500	1986-07-27	2.286
WBIC_717400	1986-07-27	5.334
WBIC_1536300	1986-07-27	2.2098
WBIC_25300	1986-07-28	3.048
WBIC_25300	1986-07-28	1.524
WBIC_2334700	1986-07-28	3.1242
WBIC_793600	1986-07-28	0.762
WBIC_1515200	1986-07-28	0.762
WBIC_2169200	1986-07-28	1.8288
WBIC_2495100	1986-07-28	6.2484
WBIC_716800	1986-07-29	0.762
WBIC_716800	1986-07-29	0.762
WBIC_2392000	1986-07-29	3.2766
WBIC_2105100	1986-07-30	1.6002
WBIC_853200	1986-07-30	1.2192
WBIC_180300	1986-07-30	0.5334
WBIC_1598900	1986-07-31	2.4384
WBIC_848800	1986-07-31	1.524
WBIC_396500	1986-07-31	5.8674
WBIC_439800	1986-07-31	4.2672
WBIC_758300	1986-08-01	3.3528
WBIC_1005800	1986-08-01	4.2672
WBIC_25300	1986-08-02	3.048
WBIC_25300	1986-08-02	1.524
WBIC_968800	1986-08-03	3.048
WBIC_1527800	1986-08-03	2.286
WBIC_1527800	1986-08-03	2.286
WBIC_1536300	1986-08-03	2.3622
WBIC_1588200	1986-08-03	4.3434
WBIC_1588200	1986-08-03	4.4958
WBIC_2350500	1986-08-04	2.5146
WBIC_2350600	1986-08-04	3.429
WBIC_793600	1986-08-04	0.5334
WBIC_1579700	1986-08-04	1.2954
WBIC_692900	1986-08-04	5.6388
WBIC_2350200	1986-08-04	2.5146
WBIC_716800	1986-08-04	0.6858
WBIC_716800	1986-08-04	0.762
WBIC_417400	1986-08-05	2.8956
WBIC_180300	1986-08-05	0.5334
WBIC_2392000	1986-08-05	2.8194
WBIC_439800	1986-08-06	4.0386
WBIC_25300	1986-08-07	2.4384
WBIC_25300	1986-08-07	1.524
WBIC_848800	1986-08-07	1.6002
WBIC_396500	1986-08-07	5.7912
WBIC_853200	1986-08-08	1.7526
WBIC_1598900	1986-08-08	2.1336
WBIC_1005800	1986-08-08	4.2672
WBIC_1482400	1986-08-08	0.762
WBIC_827100	1986-08-08	2.4384
WBIC_968800	1986-08-09	2.8194
WBIC_2334700	1986-08-09	3.2004
WBIC_2615100	1986-08-09	1.6764
WBIC_858300	1986-08-09	2.667
WBIC_1588200	1986-08-09	4.4958
WBIC_1588200	1986-08-09	4.7244
WBIC_816800	1986-08-09	0.6096
WBIC_816800	1986-08-09	0.4572
WBIC_816800	1986-08-09	0.762
WBIC_816800	1986-08-09	0.54864
WBIC_45200	1986-08-10	3.9624
WBIC_1579700	1986-08-10	1.2954
WBIC_805000	1986-08-10	0.6096
WBIC_2353600	1986-08-10	2.667
WBIC_2105100	1986-08-11	1.6002
WBIC_2706800	1986-08-11	1.8288
WBIC_793600	1986-08-11	0.6858
WBIC_716800	1986-08-11	0.6858
WBIC_716800	1986-08-11	0.762
WBIC_396500	1986-08-11	5.334
WBIC_2495100	1986-08-11	5.4864
WBIC_1378100	1986-08-12	1.524
WBIC_1378100	1986-08-12	1.2192
WBIC_1378100	1986-08-12	1.524
WBIC_180300	1986-08-12	0.4572
WBIC_1513000	1986-08-12	0.381
WBIC_1378100	1986-08-12	1.524
WBIC_1378100	1986-08-12	1.6764
WBIC_1378100	1986-08-12	2.4384
WBIC_399200	1986-08-12	0.9144
