WBDY_WBIC,majority
6100,200
8900,160
9700,100
10500,100
14400,100
19900,150
25100,160
25300,160
28100,110
28300,150
30300,100
32500,210
37800,210
37900,210
38700,210
45100,110
45200,160
46000,160
58000,110
59300,160
60800,110
64000,110
64200,110
66800,110
67200,110
67400,110
68300,110
68600,110
82900,210
84600,110
85400,210
87900,210
93100,160
94200,110
94700,210
97700,160
98600,210
102600,210
103900,160
105800,160
106500,160
106600,160
106900,160
107700,100
107900,160
108200,160
117600,160
146100,160
146500,160
158700,210
162500,160
167000,160
168000,160
168300,160
175700,160
179100,160
179800,160
180300,100
181400,160
182200,160
182300,160
184200,160
189800,160
195000,160
195400,160
196100,160
198100,160
198800,110
199700,160
245800,160
246500,160
246900,160
255000,160
257700,110
258600,100
258700,100
259600,160
728100,210
734700,160
737900,100
740200,160
740400,160
740700,160
740900,160
741400,160
741500,160
741700,110
741800,160
742800,160
743000,160
743600,150
743800,160
747100,210
747300,210
750300,160
750800,160
752300,210
753800,150
756700,210
757900,210
758300,160
759800,160
760900,160
761100,210
761700,210
762700,100
763200,150
763600,150
765800,210
766000,160
766600,160
767100,210
768600,160
768800,210
772000,100
774400,160
778400,160
779200,160
793600,160
794200,210
802600,160
803700,100
804600,100
805400,100
808700,210
809600,100
815200,100
819800,160
820800,160
822200,200
825000,210
826300,210
827300,160
828000,160
830700,210
835100,110
835800,210
837100,210
843400,110
848800,100
849600,160
853200,160
854300,210
855200,210
859900,200
903700,160
967900,160
968800,160
972000,160
975000,210
977500,160
979100,160
980900,160
988000,160
990700,160
991700,160
1005400,160
1005800,160
1010100,160
1012000,160
1012100,160
1013800,160
1018500,160
1019500,160
1020300,160
1022900,160
1245800,160
1249000,160
1275500,160
1280400,160
1295400,100
1296000,160
1342100,210
1352000,160
1369900,160
1374800,160
1377900,160
1378100,160
1391200,160
1403200,160
1405200,160
1406300,160
1427400,160
1437500,100
1437800,100
1445100,160
1445500,160
1481600,210
1487800,160
1490300,160
1506800,160
1513000,160
1513800,160
1515200,160
1515400,160
1516000,160
1516500,160
1519600,160
1523500,160
1523600,160
1527800,160
1528300,210
1536300,160
1538600,160
1538900,160
1539700,160
1540400,160
1542300,160
1542400,160
1542600,160
1542700,160
1543300,160
1543900,160
1544700,160
1544800,160
1545300,160
1545600,160
1564200,160
1564600,160
1575700,160
1579700,160
1586800,160
1587600,160
1588000,160
1588200,160
1590400,160
1591100,160
1592400,160
1593100,160
1593800,160
1595600,160
1595800,160
1596300,160
1596600,160
1597000,160
1598000,160
1599600,160
1599900,160
1600200,160
1600300,160
1601300,160
1602300,160
1602600,160
1603700,160
1603800,160
1605800,160
1609100,160
1609600,160
1609900,160
1610300,160
1612200,160
1613000,160
1613500,160
1619100,160
1619700,160
1621800,160
1623400,160
1623700,160
1623800,160
1629500,160
1630100,160
1641400,160
1653500,110
1659900,100
1660400,160
1678200,160
1711500,160
1722000,160
1727700,160
1736200,160
1762700,160
1764000,160
1832800,160
1835100,160
1835300,160
1835700,160
1841300,160
1842400,160
1844000,160
1858200,160
1861400,160
1864000,160
1875900,160
1878200,210
1881100,160
1882800,160
1884100,160
1884800,160
2046500,160
2046600,160
2056600,160
2068000,160
2079000,160
2079700,160
2079800,160
2081200,160
2089500,160
2092500,160
2094000,160
2094100,160
2098000,110
2098200,160
2100800,160
2103900,160
2104500,160
2105100,160
2106800,160
2107700,160
2109300,160
2109800,160
2112800,160
2113300,160
2125400,100
2135600,200
2139000,150
2150200,160
2157000,160
2157900,210
2160700,160
2169200,160
2171000,160
2173900,160
2178400,160
2184900,160
2193300,160
2228700,160
2229200,160
2236800,160
2239300,160
2239400,160
2240000,100
2240100,210
2242500,160
2245100,160
2256800,160
2264000,160
2267100,160
2267800,160
2268300,160
2268500,160
2275100,160
2275300,160
2283300,160
2284000,160
2295200,160
2297000,160
2298300,160
2303500,160
2306300,160
2307300,160
2307600,160
2313100,160
2313600,160
2314100,160
2316100,160
2316600,160
2320500,160
2321100,160
2322800,160
2323000,160
2323800,160
2324000,160
2329000,160
2329400,160
2330800,160
2332400,160
2334300,160
2336800,160
2338300,160
2339900,160
2350200,160
2350400,160
2350600,160
2351400,160
2353600,160
2355300,160
2359700,160
2368700,160
2390800,160
2391200,160
2392000,160
2393200,160
2394100,160
2395600,160
2397400,160
2416900,160
2417000,160
2418600,160
2420600,160
2423000,160
2429600,160
2435000,160
2435700,160
2436500,160
2451300,160
2453500,160
2459700,160
2460700,160
2461100,160
2463300,160
2464500,160
2465700,160
2467900,160
2470800,160
2471600,160
2473500,160
2478200,160
2485900,160
2488300,160
2488600,160
2489200,160
2489700,160
2490500,160
2493100,160
2494500,160
2494900,160
2495100,160
2496300,200
2496900,160
2499000,160
2501700,160
2598600,160
2599400,160
2607100,200
2607400,160
2615900,160
2616100,160
2616400,160
2618000,160
2618100,160
2619400,160
2620000,160
2621100,160
2624200,160
2624600,160
2628100,160
2628600,160
2630200,160
2935500,160
2945500,160
2949200,160
2953100,160
2953500,160
2953800,160
2954800,160
2958500,160
2962900,160
2963800,160
2964100,160
