WBIC	ice.year	doy	ON.OFF	DATE
2106800	1979	337	on	1979-12-03
2339900	1979	332	on	1979-12-04
805400	1979	364	on	1979-12-05
804600	1979	352	on	1979-12-06
1539600	1979	314	on	1979-12-07
805000	1979	336	on	1979-12-08
100000	1979	342	on	1979-12-09
1864700	1979	324	on	1979-12-10
234000	1979	312	on	1979-12-11
2495100	1979	336	on	1979-12-12
2340100	1979	312	on	1979-12-13
2106800	1980	347	on	1979-12-14
146100	1980	-30	on	1979-12-15
315600	1980	330	on	1979-12-16
980900	1980	-9	on	1979-12-17
980900	1980	360	on	1979-12-18
2339900	1980	331	on	1979-12-19
805400	1980	355	on	1979-12-20
804600	1980	355	on	1979-12-21
1869700	1980	331	on	1979-12-22
1539600	1980	316	on	1979-12-23
805000	1980	337	on	1979-12-24
1864700	1980	316	on	1979-12-25
234000	1980	316	on	1979-12-26
2495100	1980	331	on	1979-12-27
2496300	1980	338	on	1979-12-28
2340100	1980	316	on	1979-12-29
2106800	1980	112	off	1979-12-30
968500	1980	114	off	1979-12-31
146100	1980	105	off	1980-01-01
1630100	1980	118	off	1980-01-02
315600	1980	99	off	1980-01-03
980900	1980	103	off	1980-01-04
2339900	1980	113	off	1980-01-05
2607100	1980	98	off	1980-01-06
805400	1980	97	off	1980-01-07
804600	1980	90	off	1980-01-08
1869700	1980	113	off	1980-01-09
1539600	1980	112	off	1980-01-10
805000	1980	93	off	1980-01-11
100000	1980	110	off	1980-01-12
1864700	1980	111	off	1980-01-13
234000	1980	110	off	1980-01-14
1623800	1980	110	off	1980-01-15
830700	1980	96	off	1980-01-16
2495100	1980	112	off	1980-01-17
2496300	1980	113	off	1980-01-18
2340100	1980	110	off	1980-01-19
2106800	1981	344	on	1980-01-20
2332400	1981	340	on	1980-01-21
146100	1981	-9	on	1980-01-22
1835300	1981	345	on	1980-01-23
315600	1981	327	on	1980-01-24
2017500	1981	328	on	1980-01-25
1842400	1981	343	on	1980-01-26
980900	1981	354	on	1980-01-27
805400	1981	363	on	1980-01-28
804600	1981	355	on	1980-01-29
1539600	1981	327	on	1980-01-30
805000	1981	334	on	1980-01-31
100000	1981	344	on	1980-02-01
1864700	1981	317	on	1980-02-02
2495100	1981	345	on	1980-02-03
2496300	1981	346	on	1980-02-04
1881900	1981	345	on	1980-02-05
2014700	1981	322	on	1980-02-06
2014700	1981	353	on	1980-02-07
2106800	1981	101	off	1980-02-08
146100	1981	88	off	1980-02-09
1630100	1981	105	off	1980-02-10
315600	1981	88	off	1980-02-11
980900	1981	83	off	1980-02-12
2339900	1981	103	off	1980-02-13
2607100	1981	86	off	1980-02-14
805400	1981	83	off	1980-02-15
804600	1981	76	off	1980-02-16
1869700	1981	103	off	1980-02-17
1539600	1981	101	off	1980-02-18
805000	1981	74	off	1980-02-19
1864700	1981	100	off	1980-02-20
234000	1981	101	off	1980-02-21
1623800	1981	90	off	1980-02-22
830700	1981	80	off	1980-02-23
2495100	1981	100	off	1980-02-24
2496300	1981	102	off	1980-02-25
2340100	1981	101	off	1980-02-26
2106800	1982	343	on	1980-02-27
2332400	1982	324	on	1980-02-28
146100	1982	-9	on	1980-02-29
1835300	1982	340	on	1980-03-01
315600	1982	321	on	1980-03-02
2017500	1982	322	on	1980-03-03
1842400	1982	340	on	1980-03-04
2339900	1982	330	on	1980-03-05
1869700	1982	330	on	1980-03-06
1539600	1982	324	on	1980-03-07
805000	1982	344	on	1980-03-08
100000	1982	343	on	1980-03-09
1864700	1982	319	on	1980-03-10
234000	1982	318	on	1980-03-11
2495100	1982	344	on	1980-03-12
