WBIC,Secchi_satellite,Secchi
6100,0.718116929,1
8900,3.159147903,3.6
14400,0.440631643,0.6
19900,,1
22100,1.693483182,1.2
25100,2.826870391,3.3
25300,3.174087169,2.7
25600,1.704631818,2.4
28100,2.409107181,2.25
29700,1.878035121,1.8
30300,0.869892426,2.1
32500,2.865721652,
36200,4.03087016,2.4
37800,2.718749524,4.5
38200,3.334131404,0.9
38700,1.926030057,3.3
42400,1.783116132,3.6
43900,2.401734314,1.2
44600,0.873149131,0.3
45100,4.436105761,2.4
45200,5.461714976,5.1
46000,2.905441652,2.15
46700,,3
58000,1.095024898,3.9
59300,7.894582079,5.1
63700,,3
64000,3.961857992,2.5
64200,0.958391858,2.4
68600,0.683741201,2.1
82900,1.75792875,0.6
93100,2.5644443,2.4
94200,1.467470587,2.4
101700,2.250078164,1.5
103400,2.757686656,2.4
103900,1.661563729,1.5
104200,3.529150238,2.7
105800,2.561791494,4.5
106500,3.23866592,2.7
107700,1.798829245,2.4
117600,4.824293835,3.45
146500,1.723412665,2.1
148100,1.566175737,1.8
149000,2.552044118,2.4
149800,1.803696883,0.3
151500,2.308240826,2.7
155570,3.048969505,2.4
161100,1.989299158,0.3
167000,2.266829571,3.6
168300,2.683875108,0.6
182100,3.563763853,2.1
184200,4.054693232,4.8
189800,2.735262124,3.3
192400,3.351927083,5.1
196100,3.679739021,3.6
198800,1.208943943,0.55
199700,4.62261686,2.7
240900,1.324842761,0.6
246900,3.116759869,3
255300,3.429192588,4.2
258600,2.448333418,3.6
258700,3.049401785,2.1
259600,3.123689678,4.8
262300,,4.8
262600,,4
262900,3.33750614,2.4
264100,5.05854348,5.7
264700,3.144079053,21
264800,4.023341077,5.1
264900,3.996164666,1.8
265700,2.612652927,3.6
267800,2.2503604,3.05
278800,2.469693664,2.1
279400,3.074289271,3.3
279700,1.568116139,2.8
280400,1.592664182,0.9
283600,1.77364073,2.4
287200,2.761078237,3.3
289400,2.328157428,2.4
293300,1.772025504,1.8
294500,2.306205713,2.7
297100,1.958979121,1.8
299100,2.798610521,3.6
299200,2.777039086,3.6
299300,2.258760831,3.6
322800,1.770249799,
327800,1.778294499,
353200,4.85424272,4.2
373500,2.596479065,2.7
376900,2.875720569,3.6
387200,1.563514502,1.2
388500,2.375264943,2.4
394400,3.084490779,5.2
396500,6.626647247,5.483333333
399200,1.999271627,0.9
415000,2.218614983,
417400,3.431422204,7.5
417900,4.33199941,4.5
418300,2.510289542,
418700,4.290187879,4.2
421800,3.152098873,3.5
439800,3.290567441,3.8
446600,2.736252161,
447000,3.389678849,5.1
448200,1.648756665,0.9
458700,3.575650757,1.8
462520,2.146161834,1.5
464700,3.110407276,3.6
465000,3.176554749,2.4
498800,3.124032741,4.7
499000,2.989443888,
501200,3.266477894,4.8
518300,1.816657166,2.1
519500,2.423116966,3.6
519700,2.853677878,3.9
521400,2.030167815,2.7
525900,2.148628127,2.25
530500,1.605239345,3.6
533600,3.692757134,5.7
540600,1.744995843,3.6
545400,1.815101386,3.15
555700,3.507698142,4.5
585100,3.166115105,6.9
588000,5.867145055,6
591600,3.108993041,4.5
608400,3.988218633,4.2
610700,1.471188782,2.7
617900,1.379697946,
634500,2.002980478,1.8
650500,4.744978597,5.1
651300,3.605893029,1.2
651600,1.904206141,3.6
653700,2.436267371,2.4
672000,5.123543972,1.8
677100,3.076479712,2.1
683000,1.240595237,
691800,2.302324199,3.3
692600,3.547231632,3.9
702200,4.020108677,5.4
702500,2.741121643,5.7
702700,,6
702800,,7.2
706000,3.506048019,3.3
716800,1.55642691,0.6
734700,0.975561793,0.3
740200,1.937499767,2.4
740400,2.449667454,3.3
741400,2.57341959,2.4
741600,1.255615473,3
741700,1.333357227,1.2
743600,1.678190932,2.4
743800,1.045965732,1.8
746300,1.763139731,0.6
746500,1.423088279,1.8
747100,0.611870481,1.2
750800,1.577595896,2.4
752300,1.50460526,0.3
759800,0.511422672,1.5
762700,2.231054934,1.2
765800,2.496728686,3
766600,3.863737069,2.7
767100,2.652685195,2.4
778400,5.147185643,3.6
793600,1.31406817,2.7
794200,0.856363164,0.6
802600,0.854221786,1.5
809600,1.172000573,2.35
810700,2.271718954,4.5
815200,0.569226808,0.9
819800,2.115668274,23.7
824400,1.367112792,
825000,1.043183877,1.2
826300,2.366052496,4.8
827300,4.387083975,3.6
828000,2.217116856,1.8
828600,1.099751464,1.7
830700,2.460623642,1.7
849600,3.214818247,3
854300,2.33973988,2.7
856800,0.524431602,0.4
968800,3.663333404,2.7
972000,4.621465973,5.4
975000,3.754149421,2.55
979100,3.975843302,3.3
990700,5.390470891,5.1
991700,3.745278701,3.6
994800,2.219879179,2.4
994900,4.385862945,5.1
997300,3.608798801,
1004500,5.496236378,5.7
1005800,4.010350297,4.4
1010100,3.041522741,2.9
1012000,1.838195431,3
1012100,1.798530859,1.85
1020300,7.020594086,6.483333333
1022900,3.356843793,2.386
1177600,2.800309423,3.3
1267400,1.380100694,0.9
1269100,1.131853638,1.2
1275500,0.892064799,
1280400,1.006730175,1
1296000,1.357847675,
1315000,1.423912472,0.3
1332700,2.916051459,0.6
1342100,0.617160197,0.3
1343600,1.512538318,3
1352000,1.756009228,2.1
1374800,2.081310295,4.2
1377900,1.407773661,1.5
1378100,1.670948924,2.4
1391200,1.267980757,0.6
1403200,1.695159025,1.5
1405200,1.679605674,0.6
1427400,0.802963556,
1437500,1.549093161,
1437800,1.465110128,
1445100,4.156151007,2.7
1445400,3.541627158,2.1
1445500,3.083742878,2.6
1469100,0.720068334,
1487800,3.652470389,1.2
1490300,3.756183638,2.85
1506800,2.13975094,1
1513000,3.281185877,1.5
1515400,1.596808968,1.45
1516400,,1.2
1519600,3.700247835,5.4
1523600,1.552840762,2.375
1526600,0.844101005,0.6
1527800,2.954345524,3
1528300,2.077683882,
1538900,1.037090926,1.2
1540400,2.485049917,3.073
1542600,2.189102855,2.108333334
1542700,4.844880684,4.095555556
1543300,4.567810639,4.108333334
1543900,5.316715462,5.15
1544700,1.162825477,1.8
1545300,1.214226243,2.3825
1545600,1.674757025,3.3
1547700,2.314273238,0.9
1557000,2.945783624,2.416666667
1564200,3.16259991,3.2
1564600,3.501529274,6.15
1574300,1.389071757,1
1575700,2.23858519,3
1586600,3.135885536,4.2
1586800,2.933301106,2.35
1587400,3.335986505,1.8
1587600,1.289896677,2.1
1588000,1.670319719,2.1
1591100,1.802506155,2.263333333
1592400,3.314267042,6
1593800,1.559626861,1.89
1595800,3.104855685,3.15
1596600,0.779604762,0.85
1596900,2.042817237,2.1
1597000,2.103983754,1.35
1597600,2.183134618,1.2
1597800,,1.2
1598000,2.212874387,1.2
1599800,2.792595549,1.8
1599900,1.527720487,1.2
1600200,1.70645185,1.35
1602600,2.218910236,2.25
1603700,1.48248955,1.75
1605800,2.892025709,1.5
1609000,1.803534733,2.4
1609600,1.530314353,1.6
1610300,1.712666774,2.7
1610500,2.079312242,1.875
1610600,2.19363562,1.95
1610700,1.870636305,1.8
1610800,2.483960716,1.2
1611700,2.502150088,0.9
1611800,2.175794608,1.6
1612000,3.165499033,1.5
1612100,2.488814047,1.8
1612200,2.614499382,2.1
1612300,2.239832683,1.8
1612500,1.923841025,1.2
1612900,2.204851986,1.175
1613000,1.83375038,1.5
1615900,2.353225833,1.2
1619700,1.609164052,2.4
1621800,2.70763574,3.083333333
1623400,1.967129251,1.5
1623700,3.588312757,3
1629500,4.49006493,4.091666667
1641400,2.027568634,2.4
1653500,1.494414592,0.6
1659900,1.672636022,0.3
1660400,1.371782678,0.3
1711500,1.424393971,0.9
1713200,1.036052658,1.2
1727700,2.141694788,0.9
1736200,2.639747652,
1762700,1.245165389,1.5
1764500,1.667244562,1.8
1782700,0.730378983,1.2
1832800,2.675270166,
1836700,4.065381779,4.2
1839100,3.06079466,4.7
1841300,3.513672545,5.4
1842500,4.727637639,5.1
1844000,1.467123967,2.7
1849100,5.130192803,3.6
1852300,3.588212701,
1856700,3.729839216,
1858200,3.262576009,
1862200,2.75423795,1.1
1862400,2.90261975,2.55
1864000,2.407454831,1.6
1864200,3.711755748,2.4
1868900,3.246421469,1.9
1870200,3.48980177,4.8
1872400,3.109494869,1.35
1872500,3.677833039,3.35
1873100,5.024696297,4.2
1873500,2.719872788,2.4
1875900,2.998878257,2.7
1878200,3.29565387,1.5
1878800,3.496181529,0.9
1881100,2.976837056,
1882300,,2.4
1882400,,2.4
1882500,,2.4
1884100,4.490169189,
1884200,3.877661,3.9
1884800,1.298626758,
2043500,3.442681842,1.2
2046500,2.283184817,2.1
2046600,3.251476138,3
2056600,2.528024149,
2068000,1.166161723,1.9
2079000,2.535754381,1.5
2079400,0.798112514,
2079800,1.75989301,
2081200,3.033913477,
2090900,3.044578211,3.3
2092500,4.449322742,
2092700,9.764324359,
2094000,0.52480556,
2094300,0.595442058,
2094600,1.195954746,
2098000,1.153924645,
2098200,1.461350804,
2098800,0.882200154,
2099900,2.051887218,1.55
