WBIC	m	b
10000	0.99725715	0.413122859
100000	1.038863518	-0.03017037
1000000	0.985768167	-0.777685623
1000100	0.998805362	-0.355909557
1000400	0.990295583	-0.790057683
1000700	0.963217665	0.185232796
1000800	0.965255371	0.257206554
1000900	0.987430316	-0.747445977
1001000	0.980336804	-0.526393496
1001300	0.987606049	-0.817144665
1001400	0.983522051	-0.909649215
1002300	0.987430316	-0.747445977
1002400	0.987430316	-0.747445977
1003000	0.992430195	-0.848055327
1003100	0.986650821	-0.707536235
1004500	0.988780544	-0.583545977
1004600	0.987606049	-0.817144665
1005200	0.991068889	-0.613321789
1005400	0.980064388	-0.531189966
1005600	0.982406065	-0.479021919
1005700	0.990123487	-0.763556325
1005800	0.984555812	-0.758716087
1005900	0.980336804	-0.526393496
1006400	0.985666362	-0.937851345
1006500	0.954200556	0.146837275
1007200	0.992416694	-0.825442593
1008200	0.987413078	-1.028714877
1008700	0.989543952	-0.55332889
1008900	0.990763926	-0.698289533
1009100	0.986405002	-1.135148409
1009400	0.983522051	-0.909649215
1009500	0.983608373	-0.796638467
1009900	0.988163337	-0.606731712
1010100	0.992416694	-0.825442593
1010200	0.987430316	-0.747445977
1010600	0.982406065	-0.479021919
1010800	0.987606049	-0.817144665
1012000	0.967718827	0.141224542
1012100	0.983307415	-1.101780318
101300	0.970111179	0.177584466
1013000	0.985702718	-1.16666098
1013200	0.989543952	-0.55332889
1013500	0.988163337	-0.606731712
1013800	0.989960696	-0.845113477
1014000	0.989543952	-0.55332889
1014300	0.989543952	-0.55332889
1015100	0.987396255	-0.700708945
1015200	0.992416694	-0.825442593
1016200	0.986016882	-0.772647986
1016800	0.984555812	-0.758716087
101700	0.954680663	0.454454625
1017400	0.992111735	-0.420163629
1017800	0.982841417	-1.035237297
1018200	0.989543952	-0.55332889
1018300	0.991341906	-0.787506315
1018500	0.985594701	-0.774856005
1018900	0.987606049	-0.817144665
1019500	0.987413078	-1.028714877
1019800	0.989960696	-0.845113477
102000	0.95410424	0.517355193
1020300	0.988360692	-0.958349529
1021100	0.987430316	-0.747445977
1021600	0.9925582	-0.335612337
1021800	0.98717134	-0.795110724
1022900	0.988163337	-0.606731712
1023000	0.982550648	-0.513684564
1023100	0.982841417	-1.035237297
102600	0.955849763	0.429908311
102800	0.956181117	0.577752434
102900	0.972365457	-0.325562771
10300	0.99725715	0.413122859
1030260	0.958914376	0.16863933
1030400	0.961601103	0.520343354
103300	0.955849763	0.429908311
103400	0.955849763	0.429908311
103600	0.956181117	0.577752434
103900	0.972365457	-0.325562771
104000	0.959351833	0.301659367
104200	0.954680663	0.454454625
104300	0.959823236	0.365593598
104600	0.972365457	-0.325562771
104700	0.954226683	0.59645482
104800	0.965525673	-0.02973297
10500	0.99725715	0.413122859
105200	0.972365457	-0.325562771
105600	0.965525673	-0.02973297
105800	0.965525673	-0.02973297
106500	0.956181117	0.577752434
106600	0.952766529	0.655383584
106800	0.953717439	0.630379436
106900	0.953717439	0.630379436
107400	0.95660974	0.489835362
107500	0.953717439	0.630379436
107700	0.963217665	0.185232796
107900	0.972365457	-0.325562771
108000	0.972365457	-0.325562771
108200	0.95660974	0.489835362
114400	0.979839619	-0.07339695
11500	0.940254481	0.805189293
11700	0.972665259	0.174396905
117000	0.953717439	0.630379436
117100	0.964991544	0.230194147
117400	0.969789766	-0.246010722
117500	0.955908525	0.454766312
117600	0.953717439	0.630379436
1176400	0.988163337	-0.606731712
1176500	0.982296633	-1.035356634
1176700	0.986404283	-1.13710326
1177400	0.986016882	-0.772647986
1177600	0.980456406	-0.832986629
117800	0.971278376	-0.49176153
1178000	0.987413078	-1.028714877
1178200	0.986689406	-0.829999362
1178600	0.982841417	-1.035237297
1179400	0.986789509	-0.890573064
11900	0.978837189	0.663141108
1191600	0.963310797	0.540719511
1204030	0.952601491	0.322529929
12050	0.979862319	0.56962074
1205000	0.952601491	0.322529929
1215100	0.952846148	0.164479556
1215400	0.955376409	0.44934963
1219400	0.952846148	0.164479556
1220200	0.956313695	0.165420851
1226100	0.95504581	0.372396214
12370	0.969437999	0.930603576
1239400	0.954069528	0.453301773
1242400	0.961564423	0.106341115
1245800	0.96191766	0.359492839
1246300	0.96191766	0.359492839
1246500	0.96191766	0.359492839
1249000	0.955585314	0.232337771
1249800	0.956466806	0.234985758
1252300	0.956466806	0.234985758
1256500	0.950389894	0.231956271
1258100	0.96214375	0.475494287
1260600	0.954909325	0.26295255
1267400	0.956175742	0.479941578
1269100	0.969391909	0.356538997
1275500	0.951577642	0.62883405
1278700	0.960633301	0.078715704
1280400	0.967133779	0.03558414
1283700	0.967177466	-0.01216584
1285800	0.967177466	-0.01216584
1286100	0.967177466	-0.01216584
1286500	0.967177466	-0.01216584
1289700	0.964977372	-0.008235251
1295400	0.961115639	0.134241469
1296000	0.961115639	0.134241469
129800	0.956136085	0.358288481
1301300	0.958787785	0.181645924
1304600	0.958914376	0.16863933
1306000	0.952997487	0.374518911
131100	0.961700129	0.269958631
1315000	0.971290272	-0.007879805
1322400	0.967225518	0.205640471
1326600	0.972341956	-0.053914029
1330200	0.974263171	-0.126862244
1332200	0.974179132	-0.122318591
1332700	0.971667658	0.536194935
1333900	0.966190992	0.288816708
1335500	0.966190992	0.288816708
1336200	0.966190992	0.288816708
1340200	0.974263171	-0.126862244
1342100	0.968383114	0.417573075
1343600	0.955234173	0.404319649
1345700	0.947556118	0.498053369
1352000	0.950959086	0.563268846
1354300	0.96933529	0.111266698
1369900	0.963096002	0.622072663
1374300	0.965124689	-0.111788522
1374800	0.96616967	-0.052279157
1377100	0.963843501	-0.125242149
1377700	0.963423496	0.020033196
1377900	0.963423496	0.020033196
1378100	0.963423496	0.020033196
138000	0.980443892	0.451039699
1389800	0.963358698	0.074739404
1391200	0.965754837	0.1063838
139300	0.963062108	0.778820832
139500	0.969768843	0.923507807
1396200	0.961539171	0.301482507
1396900	0.966287903	0.195675113
139900	0.977059457	-0.022317728
1402300	0.973045081	0.066236914
1403200	0.982254002	-0.695377424
1403600	0.975749758	-0.860810502
1405200	0.980456406	-0.832986629
1406300	0.980064388	-0.531189966
1407000	0.980064388	-0.531189966
1408800	0.979424001	-1.102806003
1409100	0.981663823	-0.715485888
1409400	0.979723673	-0.585805995
1410300	0.97673947	-0.523466508
1410400	0.97673947	-0.523466508
1411100	0.97782851	-0.503674437
1412200	0.981085311	-0.444050377
1412700	0.981085311	-0.444050377
141400	0.964730067	0.654200004
1415100	0.974967452	-0.301088537
1427400	0.976057197	-0.22397141
1434900	0.984425738	-0.300664862
1437500	0.986970364	-0.131794866
1437800	0.987748154	-0.124990057
14400	0.99725715	0.413122859
1441100	0.984995525	-1.027149695
1443900	0.992416694	-0.825442593
1445100	0.987430316	-0.747445977
1445400	0.987430316	-0.747445977
1445500	0.987430316	-0.747445977
1445600	0.986392541	-0.659915983
1447200	0.987430316	-0.747445977
1448600	0.983608373	-0.796638467
1451700	0.983363386	-0.726499277
146100	0.963010301	0.521247417
146500	0.964908467	0.698164701
1466200	0.998805362	-0.355909557
1466600	1.003547358	-0.429545011
1467100	1.003547358	-0.429545011
1467800	0.993337231	-0.294997739
1469100	0.998805362	-0.355909557
147600	0.968451813	0.760059708
148100	0.962818946	0.510113292
1481600	0.990858941	-1.010913443
1482400	0.990763926	-0.698289533
1483200	0.990763926	-0.698289533
1486100	0.992772315	-0.644859233
1487800	0.992772315	-0.644859233
1488400	0.980975646	-0.973376514
149000	0.972365457	-0.325562771
1490300	0.980336804	-0.526393496
1494600	0.990057977	-0.950167139
149800	0.959046299	0.462112268
1502400	0.990361061	-0.747193651
1503000	0.990980517	-0.641313057
1504600	0.991068889	-0.613321789
1506200	0.991068889	-0.613321789
1506800	0.990815426	-0.576393181
150900	0.969789855	-0.246014132
1513000	1.001435008	-0.054010715
1513800	1.001695361	-0.022106109
1514700	0.998805362	-0.355909557
151500	0.970194616	-0.257966703
1515200	1.001347184	-0.064036593
1515400	0.990969472	-0.59835182
1516000	0.986379405	-1.178867498
1516400	0.985734003	-1.165392912
1516500	0.986319276	-1.141130065
1516800	0.986404283	-1.13710326
1517200	0.986556273	-1.121321655
1517900	0.98665262	-1.096316947
1518200	0.986995518	-0.869288599
1518700	0.987606049	-0.817144665
1518800	0.987606049	-0.817144665
1519600	0.986404283	-1.13710326
1520900	0.985702718	-1.16666098
152200	0.969386722	-0.224798936
1522400	0.985013286	-0.929457935
1522900	0.987155201	-0.853255497
1523000	0.987606049	-0.817144665
1523500	0.986422117	-0.903436869
1523600	0.986422117	-0.903436869
1526600	0.985013286	-0.929457935
152700	0.969789766	-0.246010722
1527800	0.986016882	-0.772647986
1528300	0.984361897	-0.87397803
1528700	0.984494342	-0.780736543
1529500	0.983429888	-0.791099097
1529700	0.983635265	-0.870506902
1532100	0.992589327	-0.373336719
1533200	0.985065818	-0.922907915
1534800	0.987089444	-0.71773618
1535000	0.987396255	-0.700708945
1536300	0.984969631	-0.757605661
1537100	0.98496084	-0.756858382
1537800	0.985443552	-0.727624192
1538600	0.986372459	-0.755194037
1538900	0.986016882	-0.772647986
1539600	0.986773003	-0.692490315
1539700	0.986773003	-0.692490315
1540300	0.988163337	-0.606731712
1540400	0.988163337	-0.606731712
1541100	0.988163337	-0.606731712
1541300	0.988163337	-0.606731712
1541500	0.988163337	-0.606731712
1542300	0.98726358	-0.702652158
1542400	0.987647915	-0.671984939
1542600	0.987396255	-0.700708945
1542700	0.987697518	-0.700837096
1543300	0.987396255	-0.700708945
1543900	0.987396255	-0.700708945
1544700	0.988163337	-0.606731712
1544800	0.98877075	-0.584015159
1545300	0.988993426	-0.575020871
1545600	0.988163337	-0.606731712
1547700	0.98542124	-1.119625685
15500	0.940254481	0.805189293
155300	0.954680663	0.454454625
1555400	0.986404283	-1.13710326
1555500	0.986404283	-1.13710326
155570	0.95660974	0.489835362
1555900	0.991621603	-0.51095932
1557000	0.9925582	-0.335612337
1558200	0.9925582	-0.335612337
1558400	0.993425109	-0.245224671
1559200	0.987413078	-1.028714877
1560400	0.987987261	-0.992735664
1564200	0.987413078	-1.028714877
1564400	0.982903259	-1.127073568
1564600	0.982903259	-1.127073568
1566300	0.984616187	-1.061787435
1567325	0.982903259	-1.127073568
1569600	0.984616187	-1.061787435
1569900	0.98433703	-1.019679669
1571100	0.984969928	-0.981276422
1571300	0.985666362	-0.937851345
1571800	0.985666362	-0.937851345
1572000	0.98433703	-1.019679669
1572200	0.98433703	-1.019679669
1572300	0.98433703	-1.019679669
1572500	0.98433703	-1.019679669
157300	0.95660974	0.489835362
1573800	0.98433703	-1.019679669
1574300	0.98433703	-1.019679669
1575100	0.984622929	-0.880840637
1575700	0.985666362	-0.937851345
1577000	0.986146126	-0.981849033
1577100	0.986146126	-0.981849033
1579700	0.984487417	-0.520203141
1579900	0.986927918	-1.017357047
1580100	0.98259725	-1.035285778
1580200	0.982841417	-1.035237297
1580300	0.982841417	-1.035237297
1580400	0.982841417	-1.035237297
1580500	0.982841417	-1.035237297
1581700	0.983797254	-1.025276911
1583000	0.982841417	-1.035237297
1583500	0.982841417	-1.035237297
158600	0.965525673	-0.02973297
1586600	0.983522051	-0.909649215
1586800	0.983522051	-0.909649215
158700	0.960533338	0.378315575
1587400	0.983522051	-0.909649215
1587600	0.987876913	-0.789285017
1588000	0.988682576	-0.701528197
1588200	0.988682576	-0.701528197
1589100	0.988682576	-0.701528197
1589300	0.988682576	-0.701528197
1589600	0.988682576	-0.701528197
1590000	0.988682576	-0.701528197
1590400	0.989414726	-0.576623729
1591000	0.989543952	-0.55332889
1591100	0.989805472	-0.550451758
1592000	0.989543952	-0.55332889
1592400	0.989228992	-0.873620962
1592500	0.989543952	-0.55332889
1592700	0.989960696	-0.845113477
1593100	0.986582718	-0.848510567
1593200	0.986689406	-0.829999362
1593400	0.984555812	-0.758716087
1593800	0.984555812	-0.758716087
1594000	0.984555812	-0.758716087
1595300	0.989261949	-0.66302178
1595600	0.983522051	-0.909649215
1595800	0.983522051	-0.909649215
1596300	0.984555812	-0.758716087
1596600	0.984929504	-0.764439242
