observed	modeled
11.111	16.357
14.444	19.616
13.257	13.399
15.556	18.436
16.111	21.362
13.056	22.67
13.31	18.34
15.389	22.563
10.778	13.284
13.556	17.57
15.278	24.15
14.167	23.261
6.3905	14.304
15.222	18.197
14.611	19.15
15.056	24.181
25	25.907
9.2573	8.8423
14.444	17.469
9.3068	7.3971
8.2964	9.3186
10.829	8.7548
7.4804	8.5593
9.1548	8.9466
9.2045	9.0275
8.0746	9.4111
6.5493	7.6032
7.7268	8.0426
11.111	12.009
10	13.594
7.1185	7.9771
9.034	8.5141
9.5225	9.2009
8.7218	9.887
5.1636	6.2694
7.8619	7.5884
7.8268	8.1432
7.9609	8.7564
6.99	7.0157
7.7008	8.1985
7.3027	8.3323
6.7309	7.8999
8.2952	8.7509
8.2767	9.1699
8.4377	9.3769
7.2222	8.4494
8.0592	5.5652
9.6022	7.2163
8.7682	7.81
8.77	8.1148
7.1956	6.8408
9.0483	8.0055
9.4815	8.7353
7.8626	7.4869
5.9585	6.382
7.9991	8.3194
8.5808	9.0663
9.3726	8.399
6.0514	7.6042
7.4876	8.4411
7.8064	9.4146
7.6697	9.7164
6.4001	7.7057
8.871	9.4233
8.9574	9.6902
6.9113	7.4186
7.232	8.0934
7.4911	8.3665
6.3889	8.2527
7.324	8.4977
7.9606	8.3134
7.9773	8.7259
8.0964	8.6094
8.1434	9.0274
7.9981	9.5544
8.1178	9.4033
7.7447	10.142
6.2044	8.3579
7.5759	8.3743
8.4542	8.9437
8.3442	9.4182
7.2881	7.9817
7.8411	8.6902
8.0284	9.1455
6.283	7.9351
6.9011	8.9229
7.3135	9.4521
7.3437	9.8266
7.9762	9.8577
8.2433	10.231
7.0902	10.484
10.606	9.8678
9.9535	10.006
9.3377	10.266
5.4882	6.7425
7.6837	8.5983
8.5988	9.174
8.2892	9.4836
8.9557	11.729
8.9864	12.78
4.9143	7.0672
7.8859	9.811
8.4363	11.687
8.4223	12.353
9.1335	10.104
10.964	10.796
9.0255	11.841
10.151	13.113
9.8665	10.664
9.7747	11.286
10.818	12.444
12.222	17.578
9.2471	9.1195
9.6299	9.6467
11.101	12.456
7.9584	9.3971
8.9777	11.082
9.8752	12.17
10.311	13.292
9.1093	10.704
10.168	12.317
9.6267	13.634
10.071	15.442
8.7126	8.0546
11.332	10.281
11.455	11.937
11.344	13.329
7.9533	8.1787
9.5649	10.116
10.183	11.621
10.81	14.075
7.2458	8.5739
8.8484	10.801
8.3996	11.906
9.4444	15.572
12.849	16.625
12.222	18.927
11.945	13.96
12.778	17.839
9.5	12.354
10.298	15.18
12	22.067
9.2687	8.8266
8.1667	10.736
10.889	13.844
12.278	20.386
11.389	20.804
12	20.85
14.667	21.339
14.36	14.484
9.229	9.9548
14.889	21.713
17.327	17.167
8.5	11.372
11.889	13.435
13.167	15.16
14.389	15.671
16	18.193
16.667	18.357
16.667	18.674
11.202	10.234
11.579	11.667
11.495	11.835
11.892	12.467
11.81	13.413
11.722	14.195
12.715	14.864
13.106	16.093
13.167	17.606
13.056	18.6
13.889	20.011
13.889	21.225
15.389	21.369
14.556	21.157
12.481	12.313
6.3095	8.2766
6.4858	8.442
10.917	12.946
10.905	13.417
11.209	16.487
11	16.717
11.389	18.123
12.389	19.913
12.667	20.96
14.167	20.135
7.4309	7.7504
6.7791	8.1349
6.4844	8.4173
7.0595	7.6354
6.4624	8.4628
8.7639	9.0386
6.9295	9.7743
5.4648	7.1166
5.9523	7.6143
8.2828	7.7126
5.8448	8.3837
6.209	8.2106
6.9355	8.5272
13.33	12.738
14.056	15.581
15.389	19.162
11.667	15.267
13.167	17.583
14.167	21.052
8.5342	10.24
10.888	15.217
11.701	18.401
11.556	21.156
9.9377	10.376
11.185	12.848
12.188	15.795
12.278	18.82
13.281	12.119
13	16.224
16.167	21.212
9.8795	11.479
10.198	12.971
10.616	15.6
12.389	18.105
17.222	22.648
20.556	26.608
21.273	22.272
17.387	18.696
22.247	25.429
14.444	21.985
9.5917	12.467
8.9784	11.468
10.669	15.692
12.678	18.251
17.222	28.533
18.333	29.973
11.111	19.558
6.1946	14.698
18.333	23.136
25.131	25.641
20.556	29.087
10.57	8.586
10.57	8.7902
15.487	9.6172
13.889	10.032
7.6899	9.3357
7.3191	9.5412
6.9248	9.6484
6.7114	9.7343
7.2052	10.095
7.0852	10.283
7.1998	10.421
7.9605	10.444
7.8033	10.553
7.6871	10.689
6.7894	11.296
15.857	12.524
12.582	9.5365
14.278	15.395
12.278	11.669
13.222	13.904
10.19	10.472
10.008	10.954
10.713	11.185
10.766	11.701
12.833	10.259
18.889	12.772
12.778	11.146
13	11.207
15.833	13.938
14.286	9.965
14.333	9.6984
14.111	10.43
14.333	11.196
14.111	11.908
13.889	9.3213
13.778	13.211
9.736	9.8638
20	14.266
8.9139	8.5713
21.667	21.001
17.222	13.438
15.556	13.184
17.222	14.456
7.331	9.0332
7.8661	10.736
8.2528	11.595
8.2044	11.56
11.111	10.018
11.351	12.516
11.667	14.729
13.333	17.358
10.574	10.352
11.862	13.233
15.717	16.154
7.732	8.1229
8.9617	8.205
6.8088	8.2813
7.0133	9.1755
7.7998	9.9042
8.9515	7.8529
8.8679	9.0337
8.7408	9.9576
9.247	10.677
8.3333	11.69
8.622	6.6068
8.8593	7.7651
9.169	9.2073
10.102	9.8473
8.3333	10.621
9.1705	11.572
8.3333	11.704
9	13.755
10.778	15.456
