WBIC,mean.summer.flow.cfs,med.RT.days
21700,64.8,0
34300,134,0
73100,155,0
79800,40,0
145900,47.7,0
266200,78.3,0
305500,113,0
751400,155,0
754200,23.7,0
771600,85.1,0
802000,252,0
838100,44,0
841700,91.4,0
861900,85.6,0
862200,81,0
1285800,147,0
1371900,58.6,0
1396200,3830,0
1503000,1650,0
2149900,4550,0
2228700,1430,0
2290100,594,0
2646500,67.9,0
266000,78.1,0
1800,17.4,0
35400,115,0
55600,17.5,1
81200,25.7,0
249600,28.1,0
258400,44.4,0
258900,41.8,0
277800,25.5,0
322500,724,1
612200,19.6,0
653500,21.2,0
827700,26.7,0
833200,109,0
852600,17.2,0
879400,295,0
886000,114,1
1306000,266,1
1374300,91.5,0
1403800,80,0
1404500,63.2,1
1434900,3010,0
1502400,1670,0
1599400,348,0
1600000,147,0
1782700,57.3,0
2174700,3990,1
2227500,1440,0
2230100,1410,1
2238100,142,1
2397400,649,0
2603000,58.6,0
2603700,49.2,0
2614600,303,0
2894200,190,1
2941100,221,0
55300,18,0
24700,9.39,1
58400,72.2,1
531300,456,1
533300,450,1
630800,29.3,1
752300,33.8,1
1437500,2950,2
1437800,270,1
1590200,51.5,1
1591000,43,1
1659900,67.6,1
1660400,61.9,1
1766600,27.6,1
1800500,94.5,1
1825100,61.8,1
1827300,19.6,1
2080000,47.7,1
2096700,73.2,1
2181400,3960,1
2211300,34,1
2288900,610,1
2385100,145,1
2389700,82,1
2860400,10.1,1
830600,6.39,1
1387200,16.2,0
1794700,29.3,1
43300,20,1
54600,28.2,1
163400,6.58,1
268200,33.1,1
449300,394,2
651300,334,2
762900,5.24,1
857900,13.8,1
1314700,58.3,2
1320700,1.41,1
1403600,82.1,1
1516000,372,2
1678200,83.8,2
1713200,21.8,1
1823500,8.45,1
2097100,72.1,1
2119200,15.2,1
2151200,46.8,2
2290500,594,2
2621900,165,2
2740900,93.6,2
2743500,35.2,1
2743600,35,1
2838000,40.6,2
251600,10.3,2
302300,29,2
755300,5.45,2
821000,12.6,2
826000,8.69,2
850100,44.4,2
854100,16.5,2
1269500,12.5,2
1396900,3820,2
1448800,16.4,2
1711500,38.7,2
2218800,8.68,1
2607600,128,3
1744300,10.7,1
2342000,5.93,2
2429800,13.3,2
2705300,7.28,1
280400,145,3
312600,33,3
448200,402,3
754400,20.9,2
838300,43,3
1304600,303,3
1409400,3560,3
2130100,5.76,2
2151000,50.2,2
2205600,4.4,2
2293800,12.6,2
297100,11.5,3
770100,13.4,3
830300,9.87,3
1275500,22.7,3
2725500,142,4
29000,6.91,3
166700,11.8,3
257700,138,4
622600,19.8,3
1216100,63.4,4
1402300,9.39,3
1441100,14.8,3
1515400,1470,5
1691500,10.8,3
2184900,3870,6
2608800,92.6,4
2674500,144,4
2702100,53.2,4
2607100,142,5
2607400,139,4
1351600,4.43,3
1387400,5.94,3
52200,15.7,3
147600,7.79,4
157600,4.82,3
