observed	modeled
26.057	11.548
88.232	5.3724
7.1698	3.6174e-011
3.6291	4.7148e-011
24.942	10.513
67.801	0.039755
12.98	2.1032e-011
61.724	45.217
110.31	74.553
104.14	4.8488
69.387	5.9736
57.782	0.44766
94.311	1.0476
111.74	7.3586
1.5418	6.7108e-011
7.8317	0.94374
72.651	5.3693
98.226	9.7328
5.1416	0.0010805
2.0434	5.4715e-011
53.961	27.264
115.55	42.032
118.28	16.182
29.729	2.3566e-011
3.6132	4.5376e-011
140.41	17.579
62.381	1.6431e-011
6.1076	8.1697e-011
4.767	10.086
87.159	0.084691
59.756	2.0662
17.407	8.2242e-011
92.163	2.0119
113.9	1.4006
65.383	4.9777e-011
13.941	2.5399
127.26	63.277
38.692	0.56412
80.237	23.052
3.5052	4.647
58.303	3.4862
110.04	8.7532
53.199	4.8878e-011
4.5581	2.5808e-011
11.461	15.574
0.25758	-6.1391e-012
16.846	12.869
410.62	204.34
79.983	44.543
11.195	9.773
420.54	420.53
402.48	385.95
455.42	414.94
302.42	254.65
18.529	11.26
139.14	129.4
285.52	283.64
470.21	446.99
468.22	444.77
4.2753e-010	1.6242e-010
79.571	80.598
546.03	537.4
510.22	495.45
276.5	279.37
2.06	2.1005e-010
14.902	11.711
282.21	277.3
430.55	410.32
644.44	641.11
4.3868e-010	7.0222
195.22	134.83
541.89	499.14
170.04	119.31
34.602	31.319
360.09	291.44
552.86	517.46
581.34	493.9
7.0952	9.2944
39.734	18.025
509.5	495.63
691.47	682.48
626.58	574.89
36.164	0.32953
224.9	175.2
539.38	481.95
577.2	481.63
104.92	35.537
7.5002	8.04
520.54	506.41
513.51	470.08
26.403	18.045
174.77	195.67
457.73	480.74
772.09	777.23
514.88	531.56
33.486	23.654
566.78	654.15
489.32	435.12
414.3	415.56
542.98	482.64
664.45	606.81
14.591	10.198
141.8	175.69
308.53	242.64
556.05	533.02
338.87	279.51
13.178	0.55138
506.62	478.11
700.9	614.45
589.95	509.27
116.73	55.862
103.89	77.612
362.87	320.74
602.26	610.99
469.69	461.91
6.5464	4.2657e-010
455.61	423
578.4	570.04
467.57	406.79
13.065	4.625e-010
12.535	21.921
481.76	377.25
570.75	484.12
537.28	424.86
7.2649	2.9979e-010
510.06	473.62
415.72	308.9
350.38	238.3
14.295	4.3575e-010
453.04	475.64
580.64	531.67
160.41	111.41
8.2238	6.1514
398.32	424.84
673.72	677.36
186.38	191.3
233.66	203.1
140.46	50.035
4.1773	2.7074e-010
11.038	7.8386
166.76	142.82
237.73	187.91
238.32	180.57
7.8806	5.6857e-010
127.6	106.65
170.55	193.14
345.28	247.26
253.3	206.35
9.5134	4.2624e-010
74.298	72.927
200.16	204.87
392.42	342.97
198.48	107.93
3.1487	5.351e-010
120.64	32.574
237.71	195.14
310.58	244.27
14.765	7.4561
39.764	63.501
153.8	100.1
272.92	217.79
127.58	53.799
18.662	4.1652e-010
236.78	243.19
402.91	323.52
225.78	142.08
40.279	0.98587
16.213	14.254
250.46	228.55
377.12	285.34
242.79	184.58
77.872	92.024
226.92	196.35
215.17	162.33
171.04	100.44
25.671	21.297
154.08	119.32
315.26	213.54
4.914	0.39646
31.55	22.244
57.231	41.15
59.697	26.928
27.103	0.55723
1.5198	4.3201e-011
4.3365	3.8633e-011
32.381	20.447
48.393	22.115
11.488	5.0052e-011
5.5737	2.2184
25.1	9.4857
41.405	10.707
9.8811	7.2383
6.4161	3.8519e-011
28.602	4.3383e-011
3.8166	1.6299
62.621	52.893
72.392	28.307
23.658	4.7626e-011
54.014	6.0152
45.798	24.59
21.303	5.0329
6.6316	7.0405
0.84491	4.4133e-011
1.2438	4.7602e-011
7.1731	5.4598
23.592	0.17833
38.829	3.029
32.136	3.9497e-011
19.908	4.7529e-011
11.403	4.0921e-011
6.6992	3.4449
10.275	0.11954
4.1097	5.2757e-011
1.2364	6.4488e-011
1.8628	4.3582e-011
0.36052	4.7626e-011
0.080852	6.3697e-011
4.8587	2.3012
6.1501	5.6408e-011
11.268	6.1442
10.134	4.5557e-011
6.8298	5.59
51.229	42.062
18.413	3.2397
13.732	4.6989e-011
20.756	4.7613
