WBIC	ON.OFF	DATE
10000	off	1979-03-28
10000	off	1980-03-25
10000	off	1981-03-17
10000	off	1982-04-03
10000	off	1983-03-29
10000	off	1984-03-28
10000	off	1985-03-19
10000	off	1986-03-20
10000	off	1987-03-12
10000	off	1988-03-17
10000	off	1989-03-20
10000	off	1990-03-11
10000	off	1991-03-15
10000	off	1992-03-04
10000	off	1993-03-20
10000	off	1994-03-19
10000	off	1995-03-13
10000	off	1996-03-27
10000	off	1997-03-21
10000	off	1998-03-18
10000	off	1999-03-19
10000	off	2000-02-29
10000	off	2001-03-20
10000	off	2002-03-23
10000	off	2003-03-18
10000	off	2004-03-11
10000	off	2005-03-20
10000	off	2006-03-16
10000	off	2007-03-15
10000	off	2008-03-23
10000	off	2009-03-16
10000	off	2010-03-10
10000	off	2011-03-15
100000	off	1979-04-09
100000	off	1980-04-02
100000	off	1981-03-27
100000	off	1982-04-11
100000	off	1983-04-08
100000	off	1984-04-04
100000	off	1985-04-02
100000	off	1986-03-30
100000	off	1987-03-31
100000	off	1988-03-31
100000	off	1989-04-05
100000	off	1990-04-04
100000	off	1991-03-28
100000	off	1992-04-06
100000	off	1993-04-02
100000	off	1994-04-03
100000	off	1995-03-29
100000	off	1996-04-13
100000	off	1997-04-07
100000	off	1998-03-30
100000	off	1999-03-27
100000	off	2000-03-13
100000	off	2001-03-31
100000	off	2002-04-05
100000	off	2003-04-02
100000	off	2004-03-23
100000	off	2005-03-30
100000	off	2006-03-28
100000	off	2007-03-24
100000	off	2008-03-30
100000	off	2009-03-30
100000	off	2010-03-17
100000	off	2011-03-30
1000000	off	1979-05-04
1000000	off	1980-04-27
1000000	off	1981-04-19
1000000	off	1982-04-28
1000000	off	1983-04-28
1000000	off	1984-04-27
1000000	off	1985-04-19
1000000	off	1986-04-17
1000000	off	1987-04-14
1000000	off	1988-04-16
1000000	off	1989-04-21
1000000	off	1990-04-21
1000000	off	1991-04-12
1000000	off	1992-04-21
1000000	off	1993-04-19
1000000	off	1994-04-18
1000000	off	1995-04-14
1000000	off	1996-05-01
1000000	off	1997-04-24
1000000	off	1998-04-14
1000000	off	1999-04-14
1000000	off	2000-03-29
1000000	off	2001-04-16
1000000	off	2002-04-20
1000000	off	2003-04-15
1000000	off	2004-04-16
1000000	off	2005-04-15
1000000	off	2006-04-17
1000000	off	2007-04-11
1000000	off	2008-04-19
1000000	off	2009-04-16
1000000	off	2010-04-05
1000000	off	2011-04-14
1000100	off	1979-04-23
1000100	off	1980-04-20
1000100	off	1981-04-10
1000100	off	1982-04-24
1000100	off	1983-04-23
1000100	off	1984-04-19
1000100	off	1985-04-12
1000100	off	1986-04-12
1000100	off	1987-04-04
1000100	off	1988-04-12
1000100	off	1989-04-18
1000100	off	1990-04-10
1000100	off	1991-04-10
1000100	off	1992-04-18
1000100	off	1993-04-16
1000100	off	1994-04-14
1000100	off	1995-04-09
1000100	off	1996-04-26
1000100	off	1997-04-18
1000100	off	1998-04-12
1000100	off	1999-04-10
1000100	off	2000-03-27
1000100	off	2001-04-14
1000100	off	2002-04-18
1000100	off	2003-04-13
1000100	off	2004-04-12
1000100	off	2005-04-13
1000100	off	2006-04-15
1000100	off	2007-04-09
1000100	off	2008-04-18
1000100	off	2009-04-14
1000100	off	2010-04-03
1000100	off	2011-04-13
1000400	off	1979-05-06
1000400	off	1980-04-30
1000400	off	1981-04-21
1000400	off	1982-04-29
1000400	off	1983-04-29
1000400	off	1984-04-28
1000400	off	1985-04-20
1000400	off	1986-04-19
1000400	off	1987-04-15
1000400	off	1988-04-18
1000400	off	1989-04-22
1000400	off	1990-04-23
1000400	off	1991-04-13
1000400	off	1992-04-22
1000400	off	1993-04-21
1000400	off	1994-04-20
1000400	off	1995-04-15
1000400	off	1996-05-03
1000400	off	1997-04-25
1000400	off	1998-04-15
1000400	off	1999-04-15
1000400	off	2000-04-01
1000400	off	2001-04-18
1000400	off	2002-04-21
1000400	off	2003-04-17
1000400	off	2004-04-17
1000400	off	2005-04-16
1000400	off	2006-04-19
1000400	off	2007-04-12
1000400	off	2008-04-21
1000400	off	2009-04-18
1000400	off	2010-04-08
1000400	off	2011-04-16
1000700	off	1979-04-03
1000700	off	1980-03-30
1000700	off	1981-03-20
1000700	off	1982-04-05
1000700	off	1983-04-01
1000700	off	1984-04-01
1000700	off	1985-03-19
1000700	off	1986-03-26
1000700	off	1987-03-19
1000700	off	1988-03-23
1000700	off	1989-03-28
1000700	off	1990-03-20
1000700	off	1991-03-23
1000700	off	1992-03-17
1000700	off	1993-04-01
1000700	off	1994-03-24
1000700	off	1995-03-20
1000700	off	1996-04-07
1000700	off	1997-03-28
1000700	off	1998-03-25
1000700	off	1999-03-25
1000700	off	2000-03-08
1000700	off	2001-03-29
1000700	off	2002-04-01
1000700	off	2003-03-24
1000700	off	2004-03-18
1000700	off	2005-03-27
1000700	off	2006-03-25
1000700	off	2007-03-22
1000700	off	2008-03-29
1000700	off	2009-03-24
1000700	off	2010-03-18
1000700	off	2011-03-26
1000800	off	1979-04-13
1000800	off	1980-04-06
1000800	off	1981-03-31
1000800	off	1982-04-14
1000800	off	1983-04-13
1000800	off	1984-04-08
1000800	off	1985-04-01
1000800	off	1986-04-02
1000800	off	1987-03-25
1000800	off	1988-04-01
1000800	off	1989-04-03
1000800	off	1990-03-29
1000800	off	1991-03-29
1000800	off	1992-04-06
1000800	off	1993-04-07
1000800	off	1994-03-31
1000800	off	1995-03-28
1000800	off	1996-04-14
1000800	off	1997-04-06
1000800	off	1998-03-31
1000800	off	1999-03-31
1000800	off	2000-03-14
1000800	off	2001-04-03
1000800	off	2002-04-07
1000800	off	2003-04-01
1000800	off	2004-03-27
1000800	off	2005-04-02
1000800	off	2006-04-02
1000800	off	2007-03-28
1000800	off	2008-04-04
1000800	off	2009-03-30
1000800	off	2010-03-24
1000800	off	2011-04-02
1000900	off	1979-04-28
1000900	off	1980-04-23
1000900	off	1981-04-15
1000900	off	1982-04-25
1000900	off	1983-04-24
1000900	off	1984-04-22
1000900	off	1985-04-16
1000900	off	1986-04-12
1000900	off	1987-04-04
1000900	off	1988-04-12
1000900	off	1989-04-17
1000900	off	1990-04-09
1000900	off	1991-04-10
1000900	off	1992-04-18
1000900	off	1993-04-16
1000900	off	1994-04-15
1000900	off	1995-04-08
1000900	off	1996-04-26
1000900	off	1997-04-19
1000900	off	1998-04-11
1000900	off	1999-04-09
1000900	off	2000-03-26
1000900	off	2001-04-13
1000900	off	2002-04-17
1000900	off	2003-04-13
1000900	off	2004-04-11
1000900	off	2005-04-12
1000900	off	2006-04-14
1000900	off	2007-04-07
1000900	off	2008-04-13
1000900	off	2009-04-13
1000900	off	2010-04-01
1000900	off	2011-04-12
1001000	off	1979-05-02
1001000	off	1980-04-27
1001000	off	1981-04-19
1001000	off	1982-04-27
1001000	off	1983-04-27
1001000	off	1984-04-26
1001000	off	1985-04-18
1001000	off	1986-04-15
1001000	off	1987-04-10
1001000	off	1988-04-15
1001000	off	1989-04-20
1001000	off	1990-04-21
1001000	off	1991-04-12
1001000	off	1992-04-21
1001000	off	1993-04-19
1001000	off	1994-04-18
1001000	off	1995-04-11
1001000	off	1996-04-29
1001000	off	1997-04-22
1001000	off	1998-04-14
1001000	off	1999-04-13
