wbic	ice.year	doy	on.off										
2106800	1979	337	on										
2339900	1979	332	on										
805400	1979	364	on										
804600	1979	352	on										
1539600	1979	314	on										
805000	1979	336	on										
100000	1979	342	on										
1864700	1979	324	on										
234000	1979	312	on										
2495100	1979	336	on										
2340100	1979	312	on										
2106800	1980	347	on										
146100	1980	-30	on										
315600	1980	330	on										
980900	1980	-9	on										
980900	1980	360	on										
2339900	1980	331	on										
805400	1980	355	on										
804600	1980	355	on										
1869700	1980	331	on										
1539600	1980	316	on										
805000	1980	337	on										
1864700	1980	316	on										
234000	1980	316	on										
2495100	1980	331	on										
2496300	1980	338	on										
2340100	1980	316	on										
2106800	1980	112	off										
968500	1980	114	off										
146100	1980	105	off										
1630100	1980	118	off										
315600	1980	99	off										
980900	1980	103	off										
2339900	1980	113	off										
2607100	1980	98	off										
805400	1980	97	off										
804600	1980	90	off										
1869700	1980	113	off										
1539600	1980	112	off										
805000	1980	93	off										
100000	1980	110	off										
1864700	1980	111	off										
234000	1980	110	off										
1623800	1980	110	off										
830700	1980	96	off										
2495100	1980	112	off										
2496300	1980	113	off										
2340100	1980	110	off										
2106800	1981	344	on										
2332400	1981	340	on										
146100	1981	-9	on										
1835300	1981	345	on										
315600	1981	327	on										
2017500	1981	328	on										
1842400	1981	343	on										
980900	1981	354	on										
805400	1981	363	on										
804600	1981	355	on										
1539600	1981	327	on										
805000	1981	334	on										
100000	1981	344	on										
1864700	1981	317	on										
2495100	1981	345	on										
2496300	1981	346	on										
1881900	1981	345	on										
2014700	1981	322	on										
2014700	1981	353	on										
2106800	1981	101	off										
146100	1981	88	off										
1630100	1981	105	off										
315600	1981	88	off										
980900	1981	83	off										
2339900	1981	103	off										
2607100	1981	86	off										
805400	1981	83	off										
804600	1981	76	off										
1869700	1981	103	off										
1539600	1981	101	off										
805000	1981	74	off										
1864700	1981	100	off										
234000	1981	101	off										
1623800	1981	90	off										
830700	1981	80	off										
2495100	1981	100	off										
2496300	1981	102	off										
2340100	1981	101	off										
2106800	1982	343	on										
2332400	1982	324	on										
146100	1982	-9	on										
1835300	1982	340	on										
315600	1982	321	on										
2017500	1982	322	on										
1842400	1982	340	on										
2339900	1982	330	on										
1869700	1982	330	on										
1539600	1982	324	on										
805000	1982	344	on										
100000	1982	343	on										
1864700	1982	319	on										
234000	1982	318	on										
2495100	1982	344	on										
2496300	1982	343	on										
1881900	1982	340	on										
2014700	1982	322	on										
2331600	1982	347	on										
2106800	1982	115	off										
2332400	1982	123	off										
968500	1982	125	off										
146100	1982	84	off										
1835300	1982	123	off										
1630100	1982	125	off										
315600	1982	107	off										
2017500	1982	120	off										
1842400	1982	123	off										
980900	1982	107	off										
2339900	1982	123	off										
2607100	1982	103	off										
805400	1982	94	off										
804600	1982	90	off										
1869700	1982	123	off										
1539600	1982	123	off										
100000	1982	88	off										
1864700	1982	120	off										
234000	1982	120	off										
1623800	1982	109	off										
830700	1982	94	off										
2495100	1982	115	off										
2496300	1982	116	off										
1881900	1982	125	off										
2340100	1982	120	off										
2014700	1982	123	off										
2014700	1982	125	off										
2106800	1983	336	on										
2332400	1983	328	on										
146100	1983	354	on										
146100	1983	-18	on										
1835300	1983	338	on										
315600	1983	335	on										
2017500	1983	319	on										
1842400	1983	338	on										
980900	1983	352	on										
980900	1983	-17	on										
805400	1983	-13	on										
805400	1983	354	on										
804600	1983	353	on										
804600	1983	-9	on										
1539600	1983	331	on										
805000	1983	344	on										
100000	1983	335	on										
1864700	1983	317	on										
2495100	1983	336	on										
2496300	1983	337	on										
1881900	1983	338	on										
2014700	1983	318	on										
2331600	1983	338	on										
2106800	1983	118	off										
2332400	1983	118	off										
968500	1983	123	off										
146100	1983	67	off										
1835300	1983	122	off										
1630100	1983	125	off										
315600	1983	97	off										
2017500	1983	118	off										
1842400	1983	120	off										
980900	1983	97	off										
2339900	1983	121	off										
2607100	1983	77	off										
805400	1983	68	off										
804600	1983	66	off										
1869700	1983	119	off										
1539600	1983	119	off										
805000	1983	66	off										
1864700	1983	117	off										
2313600	1983	122	off										
234000	1983	118	off										
1623800	1983	102	off										
830700	1983	69	off										
2495100	1983	117	off										
2496300	1983	119	off										
1881900	1983	121	off										
2340100	1983	118	off										
2014700	1983	119	off										
2331600	1983	123	off										
2294900	1983	122	off										
2106800	1984	339	on										
2332400	1984	314	on										
1835300	1984	326	on										
315600	1984	339	on										
2017500	1984	311	on										
1842400	1984	334	on										
980900	1984	358	on										
805400	1984	360	on										
804600	1984	359	on										
1539600	1984	323	on										
805000	1984	323	on										
100000	1984	339	on										
